indice,canal,tensao
0,0,1.644556
1,1,1.644520
2,2,1.644495
3,3,1.639385
4,4,1.639354
5,5,1.639340
6,6,1.629360
7,7,1.629345
8,0,1.644556
9,1,1.644497
10,2,1.644496
11,3,1.639377
12,4,1.639377
13,5,1.639403
14,6,1.629391
15,7,1.629344
16,0,1.644539
17,1,1.644503
18,2,1.644486
19,3,1.639374
20,4,1.639379
21,5,1.639372
22,6,1.629363
23,7,1.629339
24,0,1.644543
25,1,1.644498
26,2,1.644508
27,3,1.639435
28,4,1.639410
29,5,1.639388
30,6,1.629369
31,7,1.629319
32,0,1.644510
33,1,1.644481
34,2,1.644508
35,3,1.639386
36,4,1.639399
37,5,1.639373
38,6,1.629357
39,7,1.629320
40,0,1.644557
41,1,1.644527
42,2,1.644528
43,3,1.639425
44,4,1.639380
45,5,1.639360
46,6,1.629331
47,7,1.629320
48,0,1.644539
49,1,1.644498
50,2,1.644504
51,3,1.639405
52,4,1.639405
53,5,1.639386
54,6,1.629381
55,7,1.629361
56,0,1.644560
57,1,1.644514
58,2,1.644493
59,3,1.639377
60,4,1.639355
61,5,1.639357
62,6,1.629346
63,7,1.629340
64,0,1.644531
65,1,1.644512
66,2,1.644495
67,3,1.639392
68,4,1.639408
69,5,1.639420
70,6,1.629373
71,7,1.629336
72,0,1.644530
73,1,1.644490
74,2,1.644478
75,3,1.639386
76,4,1.639389
77,5,1.639392
78,6,1.629362
79,7,1.629333
80,0,1.644548
81,1,1.644483
82,2,1.644534
83,3,1.639434
84,4,1.639390
85,5,1.639385
86,6,1.629339
87,7,1.629301
88,0,1.644508
89,1,1.644490
90,2,1.644509
91,3,1.639387
92,4,1.639388
93,5,1.639383
94,6,1.629359
95,7,1.629333
96,0,1.644548
97,1,1.644534
98,2,1.644523
99,3,1.639397
100,4,1.639382
101,5,1.639355
102,6,1.629328
103,7,1.629331
104,0,1.644525
105,1,1.644508
106,2,1.644499
107,3,1.639386
108,4,1.639386
109,5,1.639377
110,6,1.629378
111,7,1.629359
112,0,1.644559
113,1,1.644500
114,2,1.644500
115,3,1.639358
116,4,1.639357
117,5,1.639375
118,6,1.629367
119,7,1.629317
120,0,1.644545
121,1,1.644527
122,2,1.644515
123,3,1.639418
124,4,1.639398
125,5,1.639392
126,6,1.629365
127,7,1.629321
128,0,1.644533
129,1,1.644493
130,2,1.644489
131,3,1.639391
132,4,1.639398
133,5,1.639382
134,6,1.629363
135,7,1.629328
136,0,1.644546
137,1,1.644532
138,2,1.644527
139,3,1.639417
140,4,1.639398
141,5,1.639381
142,6,1.629350
143,7,1.629318
144,0,1.644534
145,1,1.644514
146,2,1.644512
147,3,1.639390
148,4,1.639382
149,5,1.639385
150,6,1.629344
151,7,1.629350
152,0,1.644565
153,1,1.644532
154,2,1.644505
155,3,1.639398
156,4,1.639356
157,5,1.639337
158,6,1.629328
159,7,1.629334
160,0,1.644529
161,1,1.644508
162,2,1.644503
163,3,1.639394
164,4,1.639392
165,5,1.639407
166,6,1.629367
167,7,1.629355
168,0,1.644554
169,1,1.644498
170,2,1.644475
171,3,1.639358
172,4,1.639386
173,5,1.639393
174,6,1.629353
175,7,1.629320
176,0,1.644521
177,1,1.644504
178,2,1.644508
179,3,1.639424
180,4,1.639414
181,5,1.639397
182,6,1.629354
183,7,1.629325
184,0,1.644534
185,1,1.644494
186,2,1.644512
187,3,1.639378
188,4,1.639390
189,5,1.639380
190,6,1.629345
191,7,1.629305
192,0,1.644556
193,1,1.644551
194,2,1.644524
195,3,1.639420
196,4,1.639377
197,5,1.639374
198,6,1.629333
199,7,1.629306
200,0,1.644544
201,1,1.644520
202,2,1.644522
203,3,1.639397
204,4,1.639386
205,5,1.639385
206,6,1.629339
207,7,1.629375
208,0,1.644567
209,1,1.644525
210,2,1.644523
211,3,1.639376
212,4,1.639367
213,5,1.639346
214,6,1.629341
215,7,1.629339
216,0,1.644549
217,1,1.644515
218,2,1.644511
219,3,1.639419
220,4,1.639404
221,5,1.639411
222,6,1.629383
223,7,1.629316
224,0,1.644557
225,1,1.644498
226,2,1.644478
227,3,1.639375
228,4,1.639385
229,5,1.639370
230,6,1.629356
231,7,1.629338
232,0,1.644540
233,1,1.644507
234,2,1.644526
235,3,1.639429
236,4,1.639414
237,5,1.639401
238,6,1.629349
239,7,1.629315
240,0,1.644502
241,1,1.644495
242,2,1.644514
243,3,1.639409
244,4,1.639380
245,5,1.639389
246,6,1.629351
247,7,1.629317
248,0,1.644560
249,1,1.644540
250,2,1.644530
251,3,1.639399
252,4,1.639376
253,5,1.639369
254,6,1.629320
255,7,1.629321
256,0,1.644558
257,1,1.644529
258,2,1.644502
259,3,1.639402
260,4,1.639392
261,5,1.639398
262,6,1.629371
263,7,1.629353
264,0,1.644570
265,1,1.644523
266,2,1.644527
267,3,1.639383
268,4,1.639385
269,5,1.639382
270,6,1.629347
271,7,1.629328
272,0,1.644554
273,1,1.644529
274,2,1.644520
275,3,1.639397
276,4,1.639425
277,5,1.639409
278,6,1.629352
279,7,1.629330
280,0,1.644543
281,1,1.644479
282,2,1.644478
283,3,1.639387
284,4,1.639388
285,5,1.639357
286,6,1.629331
287,7,1.629316
288,0,1.644540
289,1,1.644509
290,2,1.644539
291,3,1.639420
292,4,1.639407
293,5,1.639378
294,6,1.629332
295,7,1.629304
296,0,1.644535
297,1,1.644508
298,2,1.644520
299,3,1.639394
300,4,1.639400
301,5,1.639376
302,6,1.629332
303,7,1.629339
304,0,1.644572
305,1,1.644543
306,2,1.644523
307,3,1.639403
308,4,1.639388
309,5,1.639379
310,6,1.629320
311,7,1.629320
312,0,1.644539
313,1,1.644525
314,2,1.644521
315,3,1.639400
316,4,1.639394
317,5,1.639412
318,6,1.629376
319,7,1.629360
320,0,1.644576
321,1,1.644523
322,2,1.644512
323,3,1.639404
324,4,1.639366
325,5,1.639387
326,6,1.629333
327,7,1.629314
328,0,1.644553
329,1,1.644522
330,2,1.644527
331,3,1.639408
332,4,1.639414
333,5,1.639417
334,6,1.629337
335,7,1.629314
336,0,1.644524
337,1,1.644490
338,2,1.644499
339,3,1.639407
340,4,1.639378
341,5,1.639394
342,6,1.629341
343,7,1.629320
344,0,1.644560
345,1,1.644547
346,2,1.644545
347,3,1.639429
348,4,1.639411
349,5,1.639367
350,6,1.629329
351,7,1.629294
352,0,1.644541
353,1,1.644530
354,2,1.644529
355,3,1.639397
356,4,1.639404
357,5,1.639380
358,6,1.629342
359,7,1.629339
360,0,1.644568
361,1,1.644525
362,2,1.644533
363,3,1.639423
364,4,1.639369
365,5,1.639350
366,6,1.629323
367,7,1.629314
368,0,1.644558
369,1,1.644522
370,2,1.644511
371,3,1.639399
372,4,1.639401
373,5,1.639438
374,6,1.629372
375,7,1.629332
376,0,1.644570
377,1,1.644527
378,2,1.644486
379,3,1.639393
380,4,1.639379
381,5,1.639381
382,6,1.629336
383,7,1.629304
384,0,1.644558
385,1,1.644523
386,2,1.644520
387,3,1.639435
388,4,1.639426
389,5,1.639403
390,6,1.629341
391,7,1.629317
392,0,1.644523
