indice,canal,tensao
0,0,1.650513
1,1,1.650409
2,2,1.650169
3,3,1.641056
4,4,1.641229
5,5,1.641075
6,6,1.628111
7,7,1.628338
8,0,1.650150
9,1,1.650530
10,2,1.650255
11,3,1.640917
12,4,1.641192
13,5,1.641210
14,6,1.628287
15,7,1.628149
16,0,1.650745
17,1,1.650284
18,2,1.650517
19,3,1.640878
20,4,1.641154
21,5,1.641250
22,6,1.628032
23,7,1.628519
24,0,1.650413
25,1,1.650407
26,2,1.650333
27,3,1.641082
28,4,1.641161
29,5,1.641324
30,6,1.628065
31,7,1.628357
32,0,1.650024
33,1,1.650562
34,2,1.650241
35,3,1.641164
36,4,1.641052
37,5,1.641006
38,6,1.628420
39,7,1.628167
40,0,1.650461
41,1,1.650918
42,2,1.649964
43,3,1.640757
44,4,1.640935
45,5,1.640801
46,6,1.628412
47,7,1.627776
48,0,1.650552
49,1,1.650218
50,2,1.650406
51,3,1.640856
52,4,1.640978
53,5,1.640882
54,6,1.628137
55,7,1.628239
56,0,1.650600
57,1,1.650235
58,2,1.650321
59,3,1.641083
60,4,1.641086
61,5,1.641178
62,6,1.628293
63,7,1.628294
64,0,1.650583
65,1,1.650144
66,2,1.650490
67,3,1.640840
68,4,1.641334
69,5,1.640878
70,6,1.628488
71,7,1.628184
72,0,1.650509
73,1,1.650498
74,2,1.650441
75,3,1.640964
76,4,1.641473
77,5,1.640975
78,6,1.628446
79,7,1.627946
80,0,1.650620
81,1,1.650724
82,2,1.650140
83,3,1.641092
84,4,1.640649
85,5,1.641219
86,6,1.628073
87,7,1.628278
88,0,1.649972
89,1,1.650286
90,2,1.650105
91,3,1.640856
92,4,1.641179
93,5,1.640726
94,6,1.628322
95,7,1.628028
96,0,1.650481
97,1,1.650099
98,2,1.650484
99,3,1.640925
100,4,1.641116
101,5,1.640851
102,6,1.628125
103,7,1.628192
104,0,1.650388
105,1,1.650486
106,2,1.650525
107,3,1.640884
108,4,1.640897
109,5,1.641129
110,6,1.628493
111,7,1.628268
112,0,1.650366
113,1,1.650540
114,2,1.650252
115,3,1.640949
116,4,1.640976
117,5,1.641005
118,6,1.628456
119,7,1.628250
120,0,1.650304
121,1,1.650630
122,2,1.650208
123,3,1.640946
124,4,1.640817
125,5,1.641033
126,6,1.628254
127,7,1.628083
128,0,1.650345
129,1,1.650598
130,2,1.650236
131,3,1.641101
132,4,1.641092
133,5,1.641195
134,6,1.628239
135,7,1.628280
136,0,1.650330
137,1,1.650171
138,2,1.650283
139,3,1.640962
140,4,1.641197
141,5,1.641082
142,6,1.628152
143,7,1.628167
144,0,1.650329
145,1,1.650509
146,2,1.650478
147,3,1.641270
148,4,1.641123
149,5,1.640961
150,6,1.628101
151,7,1.628424
152,0,1.650415
153,1,1.650338
154,2,1.650279
155,3,1.641158
156,4,1.641198
157,5,1.641144
158,6,1.628252
159,7,1.628272
160,0,1.650397
161,1,1.650673
162,2,1.649832
163,3,1.640872
