indice,canal,tensao
0,0,1.645813
1,1,1.645809
2,2,1.645821
3,3,1.640652
4,4,1.640660
5,5,1.640671
6,6,1.628796
7,7,1.628743
8,0,1.645840
9,1,1.645836
10,2,1.645817
11,3,1.640655
12,4,1.640678
13,5,1.640651
14,6,1.628762
15,7,1.628723
16,0,1.645845
17,1,1.645825
18,2,1.645837
19,3,1.640667
20,4,1.640676
21,5,1.640654
22,6,1.628754
23,7,1.628740
24,0,1.645854
25,1,1.645823
26,2,1.645817
27,3,1.640685
28,4,1.640668
29,5,1.640635
30,6,1.628748
31,7,1.628754
32,0,1.645852
33,1,1.645819
34,2,1.645823
35,3,1.640673
36,4,1.640667
37,5,1.640610
38,6,1.628755
39,7,1.628750
40,0,1.645842
41,1,1.645830
42,2,1.645834
43,3,1.640660
44,4,1.640640
45,5,1.640616
46,6,1.628771
47,7,1.628740
48,0,1.645852
49,1,1.645831
50,2,1.645842
51,3,1.640673
52,4,1.640646
53,5,1.640617
54,6,1.628780
55,7,1.628741
56,0,1.645837
57,1,1.645839
58,2,1.645850
59,3,1.640663
60,4,1.640620
61,5,1.640636
62,6,1.628770
63,7,1.628763
64,0,1.645842
65,1,1.645852
66,2,1.645849
67,3,1.640651
68,4,1.640623
69,5,1.640634
70,6,1.628777
71,7,1.628743
72,0,1.645883
73,1,1.645849
74,2,1.645835
75,3,1.640629
76,4,1.640635
77,5,1.640644
78,6,1.628774
79,7,1.628742
80,0,1.645888
81,1,1.645856
82,2,1.645811
83,3,1.640649
84,4,1.640636
85,5,1.640636
86,6,1.628758
87,7,1.628755
88,0,1.645886
89,1,1.645829
90,2,1.645803
91,3,1.640643
92,4,1.640660
93,5,1.640652
94,6,1.628765
95,7,1.628773
96,0,1.645875
97,1,1.645821
98,2,1.645789
99,3,1.640659
100,4,1.640649
101,5,1.640638
102,6,1.628782
103,7,1.628779
104,0,1.645866
105,1,1.645808
106,2,1.645809
107,3,1.640655
108,4,1.640643
109,5,1.640638
110,6,1.628787
111,7,1.628768
112,0,1.645865
113,1,1.645799
114,2,1.645812
115,3,1.640651
116,4,1.640665
117,5,1.640646
118,6,1.628811
119,7,1.628773
120,0,1.645844
121,1,1.645813
122,2,1.645834
123,3,1.640651
124,4,1.640660
125,5,1.640666
126,6,1.628808
127,7,1.628752
128,0,1.645834
129,1,1.645826
130,2,1.645833
131,3,1.640662
132,4,1.640655
133,5,1.640669
134,6,1.628801
135,7,1.628734
136,0,1.645840
137,1,1.645823
138,2,1.645833
139,3,1.640676
140,4,1.640664
141,5,1.640683
142,6,1.628793
143,7,1.628726
144,0,1.645847
145,1,1.645835
146,2,1.645820
147,3,1.640654
148,4,1.640680
149,5,1.640670
150,6,1.628785
151,7,1.628702
152,0,1.645860
153,1,1.645830
154,2,1.645824
155,3,1.640662
156,4,1.640686
157,5,1.640652
158,6,1.628755
159,7,1.628722
160,0,1.645863
