indice,canal,tensao
240000,0,1.630228
240001,1,1.630180
240002,2,1.630165
240003,3,1.624669
240004,4,1.624684
240005,5,1.624676
240006,6,1.622743
240007,7,1.622728
240008,0,1.630224
240009,1,1.630205
240010,2,1.630175
240011,3,1.624735
240012,4,1.624711
240013,5,1.624703
240014,6,1.622742
240015,7,1.622729
240016,0,1.630142
240017,1,1.630177
240018,2,1.630200
240019,3,1.624699
240020,4,1.624677
240021,5,1.624677
240022,6,1.622760
240023,7,1.622711
240024,0,1.630218
240025,1,1.630253
240026,2,1.630250
240027,3,1.624699
240028,4,1.624673
240029,5,1.624659
240030,6,1.622691
240031,7,1.622711
240032,0,1.630195
240033,1,1.630195
240034,2,1.630220
240035,3,1.624682
240036,4,1.624714
240037,5,1.624672
240038,6,1.622777
240039,7,1.622767
240040,0,1.630231
240041,1,1.630222
240042,2,1.630192
240043,3,1.624691
240044,4,1.624641
240045,5,1.624636
240046,6,1.622781
240047,7,1.622730
240048,0,1.630214
240049,1,1.630197
240050,2,1.630199
240051,3,1.624675
240052,4,1.624688
240053,5,1.624730
240054,6,1.622781
240055,7,1.622732
240056,0,1.630175
240057,1,1.630182
240058,2,1.630180
240059,3,1.624693
240060,4,1.624699
240061,5,1.624678
240062,6,1.622742
240063,7,1.622723
240064,0,1.630208
240065,1,1.630219
240066,2,1.630247
240067,3,1.624727
240068,4,1.624712
240069,5,1.624681
240070,6,1.622730
240071,7,1.622687
240072,0,1.630150
240073,1,1.630198
240074,2,1.630219
240075,3,1.624676
240076,4,1.624678
240077,5,1.624676
240078,6,1.622764
240079,7,1.622739
240080,0,1.630234
240081,1,1.630240
240082,2,1.630246
240083,3,1.624710
240084,4,1.624672
240085,5,1.624644
240086,6,1.622725
240087,7,1.622719
240088,0,1.630207
240089,1,1.630222
240090,2,1.630232
240091,3,1.624687
240092,4,1.624683
240093,5,1.624700
240094,6,1.622778
240095,7,1.622754
240096,0,1.630209
240097,1,1.630203
240098,2,1.630201
240099,3,1.624678
240100,4,1.624673
240101,5,1.624683
240102,6,1.622771
240103,7,1.622750
240104,0,1.630210
240105,1,1.630235
240106,2,1.630201
240107,3,1.624713
240108,4,1.624724
240109,5,1.624706
240110,6,1.622795
240111,7,1.622717
240112,0,1.630203
240113,1,1.630187
240114,2,1.630182
240115,3,1.624718
240116,4,1.624683
240117,5,1.624672
240118,6,1.622768
240119,7,1.622719
240120,0,1.630239
240121,1,1.630240
240122,2,1.630269
240123,3,1.624747
240124,4,1.624699
240125,5,1.624668
240126,6,1.622755
240127,7,1.622683
240128,0,1.630187
240129,1,1.630245
240130,2,1.630231
240131,3,1.624692
240132,4,1.624705
240133,5,1.624687
240134,6,1.622780
240135,7,1.622741
240136,0,1.630269
240137,1,1.630237
240138,2,1.630212
240139,3,1.624689
240140,4,1.624678
240141,5,1.624668
240142,6,1.622769
240143,7,1.622732
240144,0,1.630222
240145,1,1.630206
240146,2,1.630236
240147,3,1.624692
240148,4,1.624699
240149,5,1.624715
240150,6,1.622806
240151,7,1.622764
240152,0,1.630206
240153,1,1.630205
240154,2,1.630196
240155,3,1.624680
240156,4,1.624694
240157,5,1.624674
240158,6,1.622782
240159,7,1.622735
240160,0,1.630195
240161,1,1.630186
240162,2,1.630219
240163,3,1.624747
240164,4,1.624715
240165,5,1.624714
240166,6,1.622770
240167,7,1.622729
240168,0,1.630174
240169,1,1.630173
240170,2,1.630212
240171,3,1.624703
240172,4,1.624689
240173,5,1.624699
240174,6,1.622761
240175,7,1.622738
240176,0,1.630247
240177,1,1.630248
240178,2,1.630270
240179,3,1.624703
240180,4,1.624689
240181,5,1.624664
240182,6,1.622747
240183,7,1.622730
240184,0,1.630210
240185,1,1.630232
