indice,canal,tensao
80000,0,1.630049
80001,1,1.630040
80002,2,1.630053
80003,3,1.624484
80004,4,1.624529
80005,5,1.624457
80006,6,1.622619
80007,7,1.622628
80008,0,1.630009
80009,1,1.630147
80010,2,1.630104
80011,3,1.624608
80012,4,1.624604
80013,5,1.624427
80014,6,1.622645
80015,7,1.622576
80016,0,1.630127
80017,1,1.630117
80018,2,1.630111
80019,3,1.624498
80020,4,1.624405
80021,5,1.624368
80022,6,1.622592
80023,7,1.622542
80024,0,1.630046
80025,1,1.630097
80026,2,1.630071
80027,3,1.624490
80028,4,1.624472
80029,5,1.624459
80030,6,1.622604
80031,7,1.622538
80032,0,1.630034
80033,1,1.630096
80034,2,1.630059
80035,3,1.624582
80036,4,1.624444
80037,5,1.624416
80038,6,1.622592
80039,7,1.622494
80040,0,1.630101
80041,1,1.630271
80042,2,1.630064
80043,3,1.624548
80044,4,1.624651
80045,5,1.624399
80046,6,1.622556
80047,7,1.622725
80048,0,1.630129
80049,1,1.630129
80050,2,1.630101
80051,3,1.624491
80052,4,1.624527
80053,5,1.624339
80054,6,1.622577
80055,7,1.622544
80056,0,1.630018
80057,1,1.629990
80058,2,1.630019
80059,3,1.624539
80060,4,1.624521
80061,5,1.624429
80062,6,1.622576
80063,7,1.622564
80064,0,1.630121
80065,1,1.630156
80066,2,1.630057
80067,3,1.624561
80068,4,1.624473
80069,5,1.624480
80070,6,1.622508
80071,7,1.622521
80072,0,1.630046
80073,1,1.630049
80074,2,1.630007
80075,3,1.624500
80076,4,1.624532
80077,5,1.624469
80078,6,1.622609
80079,7,1.622589
80080,0,1.630154
80081,1,1.630239
80082,2,1.630037
80083,3,1.624491
80084,4,1.624632
80085,5,1.624406
80086,6,1.622617
80087,7,1.622679
80088,0,1.630002
80089,1,1.630092
80090,2,1.630029
80091,3,1.624545
80092,4,1.624457
80093,5,1.624429
80094,6,1.622600
80095,7,1.622630
80096,0,1.630106
80097,1,1.630140
80098,2,1.630074
80099,3,1.624581
80100,4,1.624545
80101,5,1.624478
80102,6,1.622582
80103,7,1.622607
80104,0,1.630078
80105,1,1.630113
80106,2,1.630000
80107,3,1.624532
80108,4,1.624531
80109,5,1.624389
80110,6,1.622638
80111,7,1.622594
80112,0,1.630042
80113,1,1.630067
80114,2,1.630145
80115,3,1.624560
80116,4,1.624570
80117,5,1.624498
80118,6,1.622643
80119,7,1.622559
80120,0,1.629995
80121,1,1.630225
80122,2,1.629944
80123,3,1.624513
80124,4,1.624627
80125,5,1.624357
80126,6,1.622541
80127,7,1.622633
80128,0,1.630004
80129,1,1.630130
80130,2,1.630079
80131,3,1.624581
80132,4,1.624555
80133,5,1.624473
80134,6,1.622556
80135,7,1.622588
80136,0,1.630066
80137,1,1.630043
80138,2,1.630080
80139,3,1.624517
80140,4,1.624466
80141,5,1.624481
80142,6,1.622650
80143,7,1.622535
80144,0,1.630129
80145,1,1.630086
80146,2,1.630055
80147,3,1.624538
80148,4,1.624585
80149,5,1.624507
80150,6,1.622728
80151,7,1.622612
80152,0,1.630173
80153,1,1.630021
80154,2,1.630107
80155,3,1.624486
80156,4,1.624537
80157,5,1.624433
80158,6,1.622593
80159,7,1.622612
80160,0,1.630031
80161,1,1.630202
80162,2,1.629949
80163,3,1.624545
80164,4,1.624555
80165,5,1.624420
80166,6,1.622589
80167,7,1.622751
80168,0,1.629971
80169,1,1.630078
80170,2,1.630068
80171,3,1.624594
80172,4,1.624554
80173,5,1.624438
80174,6,1.622617
80175,7,1.622543
80176,0,1.630105
80177,1,1.630109
80178,2,1.630003
80179,3,1.624491
80180,4,1.624482
80181,5,1.624496
80182,6,1.622663
80183,7,1.622558
80184,0,1.630198
80185,1,1.630188
80186,2,1.630121
80187,3,1.624541
80188,4,1.624576
80189,5,1.624370
80190,6,1.622608
80191,7,1.622606
80192,0,1.630123
80193,1,1.629990
80194,2,1.630110
80195,3,1.624462
80196,4,1.624503
80197,5,1.624400
80198,6,1.622617
80199,7,1.622539
80200,0,1.630036
80201,1,1.630263
80202,2,1.629986
80203,3,1.624511
80204,4,1.624618
80205,5,1.624404
80206,6,1.622731
80207,7,1.622787
80208,0,1.630045
80209,1,1.630064
80210,2,1.630114
80211,3,1.624556
80212,4,1.624548
80213,5,1.624438
80214,6,1.622573
80215,7,1.622577
80216,0,1.630102
80217,1,1.630056
80218,2,1.630105
80219,3,1.624504
80220,4,1.624570
80221,5,1.624513
80222,6,1.622566
80223,7,1.622622
80224,0,1.630112
80225,1,1.630186
80226,2,1.630010
80227,3,1.624532
80228,4,1.624556
80229,5,1.624356
80230,6,1.622553
80231,7,1.622595
80232,0,1.630015
80233,1,1.629958
80234,2,1.630118
80235,3,1.624432
80236,4,1.624640
80237,5,1.624448
80238,6,1.622604
80239,7,1.622642
80240,0,1.630159
80241,1,1.630191
80242,2,1.630073
80243,3,1.624575
80244,4,1.624659
80245,5,1.624350
80246,6,1.622505
80247,7,1.622720
80248,0,1.630111
80249,1,1.630072
80250,2,1.630017
80251,3,1.624488
80252,4,1.624630
80253,5,1.624504
80254,6,1.622584
80255,7,1.622654
80256,0,1.630149
80257,1,1.630169
80258,2,1.630023
80259,3,1.624666
80260,4,1.624535
80261,5,1.624472
80262,6,1.622546
80263,7,1.622596
80264,0,1.630089
80265,1,1.630043
80266,2,1.629964
80267,3,1.624544
80268,4,1.624486
80269,5,1.624435
80270,6,1.622595
80271,7,1.622515
80272,0,1.630171
80273,1,1.630082
80274,2,1.630074
80275,3,1.624600
80276,4,1.624562
80277,5,1.624475
80278,6,1.622612
80279,7,1.622528
80280,0,1.630172
80281,1,1.630296
80282,2,1.629969
80283,3,1.624482
80284,4,1.624648
80285,5,1.624370
80286,6,1.622592
80287,7,1.622721
80288,0,1.630100
80289,1,1.630138
80290,2,1.630037
80291,3,1.624604
80292,4,1.624537
80293,5,1.624534
80294,6,1.622647
80295,7,1.622580
80296,0,1.630059
80297,1,1.630150
80298,2,1.630066
80299,3,1.624467
80300,4,1.624467
80301,5,1.624395
80302,6,1.622574
80303,7,1.622574
80304,0,1.630015
80305,1,1.630077
80306,2,1.630172
80307,3,1.624500
80308,4,1.624531
80309,5,1.624437
80310,6,1.622668
80311,7,1.622554
80312,0,1.630054
80313,1,1.630084
80314,2,1.630154
80315,3,1.624522
80316,4,1.624485
80317,5,1.624447
80318,6,1.622607
80319,7,1.622517
80320,0,1.630051
80321,1,1.630350
80322,2,1.630020
80323,3,1.624595
80324,4,1.624650
80325,5,1.624439
80326,6,1.622719
80327,7,1.622807
80328,0,1.630049
80329,1,1.630073
80330,2,1.630117
80331,3,1.624547
80332,4,1.624470
80333,5,1.624465
80334,6,1.622590
80335,7,1.622567
80336,0,1.630056
80337,1,1.630070
80338,2,1.629982
80339,3,1.624498
80340,4,1.624635
80341,5,1.624408
80342,6,1.622599
80343,7,1.622639
80344,0,1.630144
80345,1,1.630051
80346,2,1.630126
80347,3,1.624537
80348,4,1.624443
80349,5,1.624464
80350,6,1.622598
80351,7,1.622517
80352,0,1.630090
80353,1,1.630107
80354,2,1.630064
80355,3,1.624556
80356,4,1.624600
80357,5,1.624469
80358,6,1.622602
80359,7,1.622685
80360,0,1.630093
80361,1,1.630327
80362,2,1.630045
80363,3,1.624584
80364,4,1.624587
80365,5,1.624416
80366,6,1.622567
80367,7,1.622704
80368,0,1.630083
80369,1,1.630049
80370,2,1.630027
80371,3,1.624482
80372,4,1.624523
80373,5,1.624370
80374,6,1.622652
80375,7,1.622574
80376,0,1.630071
80377,1,1.630092
80378,2,1.630145
80379,3,1.624472
80380,4,1.624551
80381,5,1.624464
80382,6,1.622605
80383,7,1.622491
80384,0,1.630075
80385,1,1.630092
80386,2,1.630017
80387,3,1.624538
80388,4,1.624601
80389,5,1.624462
80390,6,1.622513
80391,7,1.622605
80392,0,1.630183
80393,1,1.630120
80394,2,1.630138
80395,3,1.624509
80396,4,1.624537
80397,5,1.624514
80398,6,1.622643
80399,7,1.622614
80400,0,1.630211
80401,1,1.630247
80402,2,1.630000
80403,3,1.624501
80404,4,1.624630
80405,5,1.624420
80406,6,1.622606
80407,7,1.622639
80408,0,1.630040
80409,1,1.630099
80410,2,1.630076
80411,3,1.624520
80412,4,1.624509
80413,5,1.624473
80414,6,1.622617
80415,7,1.622640
80416,0,1.630089
80417,1,1.630114
80418,2,1.630039
80419,3,1.624573
80420,4,1.624520
80421,5,1.624467
80422,6,1.622576
80423,7,1.622515
