indice,canal,tensao
320000,0,1.630223
320001,1,1.630225
320002,2,1.630116
320003,3,1.624653
320004,4,1.624655
320005,5,1.624572
320006,6,1.622613
320007,7,1.622608
320008,0,1.630124
320009,1,1.630124
320010,2,1.630136
320011,3,1.624585
320012,4,1.624574
320013,5,1.624569
320014,6,1.622708
320015,7,1.622638
320016,0,1.630092
320017,1,1.630118
320018,2,1.630120
320019,3,1.624609
320020,4,1.624568
320021,5,1.624581
320022,6,1.622695
320023,7,1.622673
320024,0,1.630171
320025,1,1.630226
320026,2,1.630146
320027,3,1.624654
320028,4,1.624606
320029,5,1.624537
320030,6,1.622642
320031,7,1.622607
320032,0,1.630093
320033,1,1.630077
320034,2,1.630160
320035,3,1.624545
320036,4,1.624609
320037,5,1.624586
320038,6,1.622671
320039,7,1.622654
320040,0,1.630112
320041,1,1.630160
320042,2,1.630160
320043,3,1.624590
320044,4,1.624580
320045,5,1.624621
320046,6,1.622655
320047,7,1.622686
320048,0,1.630211
320049,1,1.630169
320050,2,1.630158
320051,3,1.624621
320052,4,1.624616
320053,5,1.624516
320054,6,1.622644
320055,7,1.622624
320056,0,1.630073
320057,1,1.630111
320058,2,1.630166
320059,3,1.624569
320060,4,1.624582
320061,5,1.624603
320062,6,1.622678
320063,7,1.622626
320064,0,1.630150
320065,1,1.630141
320066,2,1.630128
320067,3,1.624596
320068,4,1.624603
320069,5,1.624586
320070,6,1.622689
320071,7,1.622693
320072,0,1.630200
320073,1,1.630128
320074,2,1.630152
320075,3,1.624624
320076,4,1.624560
320077,5,1.624561
320078,6,1.622695
320079,7,1.622579
320080,0,1.630071
320081,1,1.630148
320082,2,1.630110
320083,3,1.624614
320084,4,1.624559
320085,5,1.624615
320086,6,1.622636
320087,7,1.622661
320088,0,1.630130
320089,1,1.630159
320090,2,1.630140
320091,3,1.624586
320092,4,1.624584
320093,5,1.624560
320094,6,1.622708
320095,7,1.622680
320096,0,1.630182
320097,1,1.630139
320098,2,1.630167
320099,3,1.624609
320100,4,1.624563
320101,5,1.624604
320102,6,1.622685
320103,7,1.622593
320104,0,1.630104
320105,1,1.630146
320106,2,1.630141
320107,3,1.624572
320108,4,1.624607
320109,5,1.624598
320110,6,1.622662
320111,7,1.622617
320112,0,1.630169
320113,1,1.630147
320114,2,1.630160
320115,3,1.624622
320116,4,1.624589
320117,5,1.624531
320118,6,1.622739
320119,7,1.622661
320120,0,1.630134
320121,1,1.630236
320122,2,1.630130
320123,3,1.624617
320124,4,1.624557
320125,5,1.624584
320126,6,1.622621
320127,7,1.622529
320128,0,1.630107
320129,1,1.630167
320130,2,1.630119
320131,3,1.624590
320132,4,1.624593
320133,5,1.624554
320134,6,1.622643
320135,7,1.622636
320136,0,1.630132
320137,1,1.630120
320138,2,1.630163
320139,3,1.624616
320140,4,1.624585
320141,5,1.624554
320142,6,1.622730
320143,7,1.622693
320144,0,1.630160
320145,1,1.630178
320146,2,1.630195
320147,3,1.624590
320148,4,1.624596
320149,5,1.624581
320150,6,1.622636
320151,7,1.622590
320152,0,1.630130
320153,1,1.630145
320154,2,1.630134
320155,3,1.624615
320156,4,1.624593
320157,5,1.624536
320158,6,1.622646
320159,7,1.622650
320160,0,1.630104
320161,1,1.630147
320162,2,1.630121
320163,3,1.624619
320164,4,1.624532
320165,5,1.624645
320166,6,1.622707
320167,7,1.622684
320168,0,1.630116
320169,1,1.630224
320170,2,1.630145
320171,3,1.624579
320172,4,1.624554
320173,5,1.624609
320174,6,1.622635
320175,7,1.622575
320176,0,1.630147
320177,1,1.630071
320178,2,1.630139
320179,3,1.624634
320180,4,1.624550
320181,5,1.624483
320182,6,1.622703
320183,7,1.622654
320184,0,1.630098
320185,1,1.630166
320186,2,1.630159
320187,3,1.624612
320188,4,1.624557
320189,5,1.624616
320190,6,1.622745
320191,7,1.622648
320192,0,1.630144
320193,1,1.630163
320194,2,1.630117
320195,3,1.624606
320196,4,1.624618
320197,5,1.624511
320198,6,1.622632
320199,7,1.622643
320200,0,1.630136
320201,1,1.630153
320202,2,1.630136
320203,3,1.624612
320204,4,1.624538
320205,5,1.624605
320206,6,1.622680
320207,7,1.622627
320208,0,1.630148
320209,1,1.630146
320210,2,1.630163
320211,3,1.624613
320212,4,1.624626
320213,5,1.624642
320214,6,1.622694
320215,7,1.622654
320216,0,1.630169
320217,1,1.630142
320218,2,1.630118
320219,3,1.624580
320220,4,1.624562
320221,5,1.624514
320222,6,1.622612
320223,7,1.622664
320224,0,1.630123
320225,1,1.630136
320226,2,1.630151
320227,3,1.624559
320228,4,1.624616
320229,5,1.624588
320230,6,1.622642
320231,7,1.622689
320232,0,1.630158
320233,1,1.630147
320234,2,1.630161
320235,3,1.624632
320236,4,1.624644
320237,5,1.624560
320238,6,1.622705
320239,7,1.622642
320240,0,1.630206
320241,1,1.630216
320242,2,1.630111
320243,3,1.624609
320244,4,1.624591
320245,5,1.624503
320246,6,1.622630
320247,7,1.622659
320248,0,1.630129
320249,1,1.630141
320250,2,1.630172
320251,3,1.624593
320252,4,1.624560
320253,5,1.624564
320254,6,1.622658
320255,7,1.622624
320256,0,1.630157
320257,1,1.630164
320258,2,1.630145
320259,3,1.624568
320260,4,1.624650
320261,5,1.624581
320262,6,1.622683
320263,7,1.622695
320264,0,1.630193
320265,1,1.630144
320266,2,1.630134
320267,3,1.624628
320268,4,1.624550
320269,5,1.624495
320270,6,1.622698
320271,7,1.622624
320272,0,1.630089
320273,1,1.630169
320274,2,1.630166
320275,3,1.624579
320276,4,1.624540
320277,5,1.624616
320278,6,1.622652
320279,7,1.622624
320280,0,1.630176
320281,1,1.630198
320282,2,1.630111
320283,3,1.624635
320284,4,1.624649
320285,5,1.624615
320286,6,1.622658
320287,7,1.622674
320288,0,1.630138
320289,1,1.630107
320290,2,1.630113
320291,3,1.624619
320292,4,1.624547
320293,5,1.624502
320294,6,1.622638
320295,7,1.622655
320296,0,1.630121
320297,1,1.630182
320298,2,1.630131
320299,3,1.624556
320300,4,1.624601
320301,5,1.624589
320302,6,1.622661
320303,7,1.622664
320304,0,1.630161
320305,1,1.630195
320306,2,1.630113
320307,3,1.624599
320308,4,1.624647
320309,5,1.624552
320310,6,1.622683
320311,7,1.622680
320312,0,1.630138
320313,1,1.630123
320314,2,1.630135
320315,3,1.624587
320316,4,1.624531
320317,5,1.624515
320318,6,1.622624
320319,7,1.622632
320320,0,1.630154
320321,1,1.630206
320322,2,1.630160
320323,3,1.624603
320324,4,1.624633
320325,5,1.624593
320326,6,1.622635
320327,7,1.622646
320328,0,1.630160
320329,1,1.630141
320330,2,1.630149
320331,3,1.624646
320332,4,1.624593
320333,5,1.624583
320334,6,1.622694
320335,7,1.622643
320336,0,1.630147
320337,1,1.630152
320338,2,1.630174
320339,3,1.624599
320340,4,1.624556
320341,5,1.624500
320342,6,1.622644
320343,7,1.622610
320344,0,1.630161
320345,1,1.630162
320346,2,1.630110
320347,3,1.624600
320348,4,1.624557
320349,5,1.624570
320350,6,1.622663
320351,7,1.622608
320352,0,1.630090
320353,1,1.630102
320354,2,1.630208
320355,3,1.624644
320356,4,1.624596
320357,5,1.624601
320358,6,1.622705
320359,7,1.622605
320360,0,1.630079
320361,1,1.630191
320362,2,1.630102
320363,3,1.624563
320364,4,1.624551
320365,5,1.624565
320366,6,1.622654
320367,7,1.622577
320368,0,1.630200
320369,1,1.630160
320370,2,1.630116
320371,3,1.624610
320372,4,1.624610
320373,5,1.624548
320374,6,1.622651
320375,7,1.622674
320376,0,1.630096
320377,1,1.630173
320378,2,1.630201
320379,3,1.624636
320380,4,1.624569
320381,5,1.624579
320382,6,1.622683
320383,7,1.622579
320384,0,1.630213
320385,1,1.630183
320386,2,1.630086
320387,3,1.624593
320388,4,1.624607
320389,5,1.624546
320390,6,1.622617
320391,7,1.622624
320392,0,1.630205
320393,1,1.630154
320394,2,1.630107
320395,3,1.624596
320396,4,1.624577
320397,5,1.624505
320398,6,1.622675
320399,7,1.622629
320400,0,1.630135
320401,1,1.630186
320402,2,1.630153
320403,3,1.624646
320404,4,1.624650
320405,5,1.624639
320406,6,1.622643
320407,7,1.622649
320408,0,1.630121
320409,1,1.630127
320410,2,1.630047
320411,3,1.624597
320412,4,1.624580
320413,5,1.624489
320414,6,1.622689
320415,7,1.622655
320416,0,1.630097
320417,1,1.630113
320418,2,1.630128
320419,3,1.624646
320420,4,1.624585
320421,5,1.624565
320422,6,1.622629
320423,7,1.622661
320424,0,1.630151
320425,1,1.630110
320426,2,1.630205
320427,3,1.624647
320428,4,1.624612
320429,5,1.624630
320430,6,1.622694
320431,7,1.622642
320432,0,1.630129
320433,1,1.630119
320434,2,1.630098
320435,3,1.624547
320436,4,1.624565
320437,5,1.624541
320438,6,1.622663
320439,7,1.622671
320440,0,1.630126
320441,1,1.630144
320442,2,1.630151
320443,3,1.624616
320444,4,1.624551
320445,5,1.624638
320446,6,1.622687
320447,7,1.622617
320448,0,1.630096
320449,1,1.630177
320450,2,1.630166
320451,3,1.624596
320452,4,1.624654
320453,5,1.624606
320454,6,1.622661
320455,7,1.622584
320456,0,1.630156
320457,1,1.630140
320458,2,1.630132
320459,3,1.624591
320460,4,1.624545
320461,5,1.624500
320462,6,1.622632
320463,7,1.622660
320464,0,1.630144
320465,1,1.630119
320466,2,1.630159
320467,3,1.624603
320468,4,1.624579
320469,5,1.624587
320470,6,1.622661
320471,7,1.622657
320472,0,1.630136
320473,1,1.630183
320474,2,1.630179
320475,3,1.624644
320476,4,1.624640
320477,5,1.624545
320478,6,1.622634
320479,7,1.622649
320480,0,1.630154
320481,1,1.630183
320482,2,1.630132
320483,3,1.624596
320484,4,1.624565
320485,5,1.624551
320486,6,1.622716
320487,7,1.622628
320488,0,1.630103
320489,1,1.630130
320490,2,1.630110
320491,3,1.624597
320492,4,1.624576
320493,5,1.624558
320494,6,1.622686
320495,7,1.622609
320496,0,1.630176
320497,1,1.630175
320498,2,1.630169
