indice,canal,tensao
240000,0,1.629984
240001,1,1.630044
240002,2,1.629996
240003,3,1.624513
240004,4,1.624499
240005,5,1.624464
240006,6,1.622545
240007,7,1.622556
240008,0,1.630059
240009,1,1.630042
240010,2,1.630066
240011,3,1.624525
240012,4,1.624479
240013,5,1.624472
240014,6,1.622582
240015,7,1.622517
240016,0,1.630065
240017,1,1.630105
240018,2,1.630093
240019,3,1.624507
240020,4,1.624507
240021,5,1.624503
240022,6,1.622503
240023,7,1.622502
240024,0,1.630060
240025,1,1.630035
240026,2,1.629964
240027,3,1.624402
240028,4,1.624494
240029,5,1.624435
240030,6,1.622527
240031,7,1.622578
240032,0,1.630026
240033,1,1.630034
240034,2,1.630091
240035,3,1.624482
240036,4,1.624497
240037,5,1.624498
240038,6,1.622624
240039,7,1.622527
240040,0,1.630066
240041,1,1.630139
240042,2,1.630061
240043,3,1.624541
240044,4,1.624559
240045,5,1.624503
240046,6,1.622515
240047,7,1.622539
240048,0,1.630032
240049,1,1.630023
240050,2,1.629982
240051,3,1.624467
240052,4,1.624448
240053,5,1.624470
240054,6,1.622584
240055,7,1.622563
240056,0,1.630048
240057,1,1.630055
240058,2,1.630033
240059,3,1.624489
240060,4,1.624438
240061,5,1.624505
240062,6,1.622546
240063,7,1.622549
240064,0,1.630090
240065,1,1.630120
240066,2,1.630045
240067,3,1.624537
240068,4,1.624529
240069,5,1.624480
240070,6,1.622552
240071,7,1.622554
240072,0,1.630044
240073,1,1.629980
240074,2,1.630021
240075,3,1.624461
240076,4,1.624472
240077,5,1.624474
240078,6,1.622592
240079,7,1.622537
240080,0,1.630025
240081,1,1.630099
240082,2,1.630033
240083,3,1.624525
240084,4,1.624498
240085,5,1.624536
240086,6,1.622568
240087,7,1.622553
240088,0,1.630096
240089,1,1.630080
240090,2,1.630076
240091,3,1.624523
240092,4,1.624521
240093,5,1.624479
240094,6,1.622565
240095,7,1.622548
240096,0,1.630026
240097,1,1.630029
240098,2,1.630033
240099,3,1.624501
240100,4,1.624517
240101,5,1.624495
240102,6,1.622568
240103,7,1.622530
240104,0,1.630017
240105,1,1.630066
240106,2,1.630070
240107,3,1.624510
240108,4,1.624519
240109,5,1.624506
240110,6,1.622570
240111,7,1.622594
240112,0,1.630118
240113,1,1.630067
240114,2,1.630071
240115,3,1.624540
240116,4,1.624519
240117,5,1.624456
240118,6,1.622573
240119,7,1.622562
240120,0,1.630018
240121,1,1.630068
