indice,canal,tensao
160000,0,1.630192
160001,1,1.630157
160002,2,1.630306
160003,3,1.624633
160004,4,1.624655
160005,5,1.624599
160006,6,1.622773
160007,7,1.622801
160008,0,1.630163
160009,1,1.630219
160010,2,1.630248
160011,3,1.624667
160012,4,1.624758
160013,5,1.624599
160014,6,1.622853
160015,7,1.622738
160016,0,1.630327
160017,1,1.630180
160018,2,1.630281
160019,3,1.624659
160020,4,1.624653
160021,5,1.624596
160022,6,1.622708
160023,7,1.622732
160024,0,1.630177
160025,1,1.630210
160026,2,1.630250
160027,3,1.624588
160028,4,1.624587
160029,5,1.624616
160030,6,1.622702
160031,7,1.622727
160032,0,1.630232
160033,1,1.630231
160034,2,1.630292
160035,3,1.624708
160036,4,1.624716
160037,5,1.624690
160038,6,1.622660
160039,7,1.622838
160040,0,1.630194
160041,1,1.630335
160042,2,1.630191
160043,3,1.624598
160044,4,1.624776
160045,5,1.624628
160046,6,1.622715
160047,7,1.622915
160048,0,1.630266
160049,1,1.630222
160050,2,1.630253
160051,3,1.624689
160052,4,1.624646
160053,5,1.624615
160054,6,1.622756
160055,7,1.622752
160056,0,1.630177
160057,1,1.630203
160058,2,1.630247
160059,3,1.624675
160060,4,1.624608
160061,5,1.624535
160062,6,1.622739
160063,7,1.622745
160064,0,1.630122
160065,1,1.630194
160066,2,1.630256
160067,3,1.624736
160068,4,1.624648
160069,5,1.624668
160070,6,1.622747
160071,7,1.622653
160072,0,1.630204
160073,1,1.630283
160074,2,1.630164
160075,3,1.624631
160076,4,1.624696
160077,5,1.624632
160078,6,1.622732
160079,7,1.622718
160080,0,1.630179
160081,1,1.630400
160082,2,1.630263
160083,3,1.624697
160084,4,1.624794
160085,5,1.624631
160086,6,1.622825
160087,7,1.622802
160088,0,1.630195
160089,1,1.630238
160090,2,1.630278
160091,3,1.624587
160092,4,1.624655
160093,5,1.624594
160094,6,1.622731
160095,7,1.622723
160096,0,1.630138
160097,1,1.630223
160098,2,1.630259
160099,3,1.624658
160100,4,1.624571
160101,5,1.624696
160102,6,1.622697
160103,7,1.622709
160104,0,1.630216
160105,1,1.630204
160106,2,1.630161
160107,3,1.624713
160108,4,1.624684
160109,5,1.624573
160110,6,1.622683
160111,7,1.622733
160112,0,1.630233
160113,1,1.630154
160114,2,1.630264
160115,3,1.624666
160116,4,1.624641
160117,5,1.624636
160118,6,1.622835
160119,7,1.622702
160120,0,1.630256
160121,1,1.630448
160122,2,1.630149
160123,3,1.624615
160124,4,1.624761
160125,5,1.624608
160126,6,1.622688
160127,7,1.622787
160128,0,1.630209
160129,1,1.630215
160130,2,1.630178
160131,3,1.624628
160132,4,1.624708
160133,5,1.624677
160134,6,1.622759
160135,7,1.622738
160136,0,1.630183
160137,1,1.630218
160138,2,1.630266
160139,3,1.624665
160140,4,1.624606
160141,5,1.624659
160142,6,1.622769
160143,7,1.622714
160144,0,1.630131
160145,1,1.630249
160146,2,1.630248
160147,3,1.624604
160148,4,1.624715
160149,5,1.624649
160150,6,1.622705
160151,7,1.622691
160152,0,1.630293
160153,1,1.630215
160154,2,1.630202
160155,3,1.624762
160156,4,1.624725
160157,5,1.624700
160158,6,1.622776
160159,7,1.622650
160160,0,1.630238
160161,1,1.630398
160162,2,1.630046
160163,3,1.624685
160164,4,1.624780
160165,5,1.624601
160166,6,1.622738
160167,7,1.622868
160168,0,1.630096
160169,1,1.630256
160170,2,1.630196
160171,3,1.624608
160172,4,1.624609
160173,5,1.624696
160174,6,1.622673
160175,7,1.622719
160176,0,1.630200
160177,1,1.630255
160178,2,1.630137
160179,3,1.624628
160180,4,1.624691
160181,5,1.624585
160182,6,1.622719
160183,7,1.622726
160184,0,1.630232
160185,1,1.630158
160186,2,1.630273
160187,3,1.624717
160188,4,1.624723
160189,5,1.624610
160190,6,1.622792
160191,7,1.622782
160192,0,1.630261
160193,1,1.630158
160194,2,1.630120
160195,3,1.624731
160196,4,1.624687
160197,5,1.624644
160198,6,1.622764
160199,7,1.622699
160200,0,1.630117
160201,1,1.630391
160202,2,1.630121
160203,3,1.624656
160204,4,1.624761
160205,5,1.624522
160206,6,1.622675
160207,7,1.622900
160208,0,1.630245
160209,1,1.630169
160210,2,1.630208
160211,3,1.624702
160212,4,1.624691
160213,5,1.624574
160214,6,1.622708
160215,7,1.622620
160216,0,1.630229
160217,1,1.630294
160218,2,1.630158
160219,3,1.624651
160220,4,1.624693
160221,5,1.624709
160222,6,1.622709
160223,7,1.622819
160224,0,1.630211
160225,1,1.630221
160226,2,1.630196
160227,3,1.624733
160228,4,1.624695
160229,5,1.624559
160230,6,1.622719
160231,7,1.622658
160232,0,1.630170
160233,1,1.630258
160234,2,1.630122
160235,3,1.624715
160236,4,1.624518
160237,5,1.624629
160238,6,1.622707
160239,7,1.622677
160240,0,1.630308
160241,1,1.630338
160242,2,1.630293
160243,3,1.624563
160244,4,1.624845
160245,5,1.624527
160246,6,1.622692
160247,7,1.622854
160248,0,1.630167
160249,1,1.630152
160250,2,1.630225
160251,3,1.624677
160252,4,1.624595
160253,5,1.624659
160254,6,1.622700
160255,7,1.622731
160256,0,1.630200
160257,1,1.630257
160258,2,1.630123
160259,3,1.624741
160260,4,1.624622
160261,5,1.624736
160262,6,1.622706
160263,7,1.622711
160264,0,1.630250
160265,1,1.630138
160266,2,1.630259
160267,3,1.624662
160268,4,1.624625
160269,5,1.624653
160270,6,1.622670
160271,7,1.622666
160272,0,1.630191
160273,1,1.630236
160274,2,1.630139
160275,3,1.624623
160276,4,1.624671
160277,5,1.624654
160278,6,1.622702
160279,7,1.622747
160280,0,1.630253
160281,1,1.630310
160282,2,1.630114
160283,3,1.624690
160284,4,1.624637
160285,5,1.624615
160286,6,1.622731
160287,7,1.622812
160288,0,1.630162
160289,1,1.630232
160290,2,1.630192
160291,3,1.624777
160292,4,1.624618
160293,5,1.624676
160294,6,1.622808
160295,7,1.622775
160296,0,1.630248
160297,1,1.630260
160298,2,1.630266
160299,3,1.624607
160300,4,1.624711
160301,5,1.624639
160302,6,1.622698
160303,7,1.622661
160304,0,1.630133
160305,1,1.630233
160306,2,1.630285
160307,3,1.624534
160308,4,1.624743
160309,5,1.624587
160310,6,1.622828
160311,7,1.622691
160312,0,1.630192
160313,1,1.630198
160314,2,1.630228
160315,3,1.624641
160316,4,1.624637
160317,5,1.624646
160318,6,1.622776
160319,7,1.622636
160320,0,1.630250
160321,1,1.630375
160322,2,1.630087
160323,3,1.624696
160324,4,1.624716
160325,5,1.624570
160326,6,1.622727
160327,7,1.622916
160328,0,1.630105
160329,1,1.630338
160330,2,1.630198
160331,3,1.624694
160332,4,1.624648
160333,5,1.624688
160334,6,1.622705
160335,7,1.622664
160336,0,1.630253
160337,1,1.630219
160338,2,1.630244
160339,3,1.624622
160340,4,1.624732
160341,5,1.624566
160342,6,1.622791
160343,7,1.622626
160344,0,1.630246
160345,1,1.630148
160346,2,1.630270
160347,3,1.624621
160348,4,1.624696
160349,5,1.624563
160350,6,1.622742
160351,7,1.622738
160352,0,1.630130
160353,1,1.630224
160354,2,1.630268
160355,3,1.624669
160356,4,1.624637
160357,5,1.624606
160358,6,1.622747
160359,7,1.622809
160360,0,1.630157
160361,1,1.630477
160362,2,1.630121
160363,3,1.624666
160364,4,1.624796
160365,5,1.624606
160366,6,1.622730
160367,7,1.622835
160368,0,1.630122
160369,1,1.630219
160370,2,1.630254
160371,3,1.624576
160372,4,1.624697
160373,5,1.624594
160374,6,1.622789
160375,7,1.622639
160376,0,1.630240
160377,1,1.630208
160378,2,1.630272
160379,3,1.624598
160380,4,1.624647
160381,5,1.624647
160382,6,1.622694
160383,7,1.622587
160384,0,1.630287
160385,1,1.630157
160386,2,1.630250
160387,3,1.624751
160388,4,1.624637
160389,5,1.624705
160390,6,1.622664
160391,7,1.622736
160392,0,1.630225
160393,1,1.630211
160394,2,1.630242
160395,3,1.624662
160396,4,1.624609
160397,5,1.624672
160398,6,1.622786
160399,7,1.622749
160400,0,1.630254
160401,1,1.630353
160402,2,1.630232
160403,3,1.624698
160404,4,1.624801
160405,5,1.624499
160406,6,1.622770
160407,7,1.622856
160408,0,1.630095
160409,1,1.630256
160410,2,1.630257
160411,3,1.624558
160412,4,1.624629
160413,5,1.624655
160414,6,1.622653
160415,7,1.622779
160416,0,1.630174
160417,1,1.630304
160418,2,1.630179
160419,3,1.624691
160420,4,1.624674
160421,5,1.624597
160422,6,1.622684
160423,7,1.622617
160424,0,1.630304
160425,1,1.630268
160426,2,1.630161
160427,3,1.624727
160428,4,1.624584
160429,5,1.624635
160430,6,1.622681
160431,7,1.622642
160432,0,1.630238
160433,1,1.630195
160434,2,1.630347
160435,3,1.624668
160436,4,1.624838
160437,5,1.624581
160438,6,1.622848
160439,7,1.622697
160440,0,1.630231
160441,1,1.630405
160442,2,1.630046
160443,3,1.624644
160444,4,1.624700
160445,5,1.624625
160446,6,1.622712
160447,7,1.622815
160448,0,1.630157
160449,1,1.630241
160450,2,1.630151
160451,3,1.624660
160452,4,1.624691
160453,5,1.624739
160454,6,1.622750
160455,7,1.622676
160456,0,1.630186
160457,1,1.630270
160458,2,1.630198
160459,3,1.624608
160460,4,1.624659
160461,5,1.624643
160462,6,1.622718
160463,7,1.622706
160464,0,1.630300
160465,1,1.630155
160466,2,1.630270
160467,3,1.624656
160468,4,1.624693
160469,5,1.624638
160470,6,1.622837
160471,7,1.622751
160472,0,1.630211
160473,1,1.630250
160474,2,1.630335
160475,3,1.624667
160476,4,1.624635
160477,5,1.624669
160478,6,1.622747
160479,7,1.622654
160480,0,1.630261
160481,1,1.630369
160482,2,1.630041
160483,3,1.624612
160484,4,1.624681
160485,5,1.624651
160486,6,1.622655
160487,7,1.622922
160488,0,1.630117
160489,1,1.630212
160490,2,1.630265
160491,3,1.624666
160492,4,1.624554
160493,5,1.624660
160494,6,1.622753
160495,7,1.622567
160496,0,1.630290
160497,1,1.630254
160498,2,1.630214
160499,3,1.624601
160500,4,1.624696
160501,5,1.624625
160502,6,1.622772
160503,7,1.622714
160504,0,1.630276
160505,1,1.630198
160506,2,1.630204
160507,3,1.624715
160508,4,1.624733
160509,5,1.624663
160510,6,1.622753
160511,7,1.622748
160512,0,1.630277
160513,1,1.630163
160514,2,1.630239
160515,3,1.624743
160516,4,1.624696
160517,5,1.624636
160518,6,1.622697
160519,7,1.622677
160520,0,1.630167
160521,1,1.630370
160522,2,1.630128
160523,3,1.624738
160524,4,1.624692
160525,5,1.624590
160526,6,1.622755
160527,7,1.622899
160528,0,1.630231
160529,1,1.630229
160530,2,1.630275
160531,3,1.624659
160532,4,1.624694
160533,5,1.624613
160534,6,1.622751
160535,7,1.622627
160536,0,1.630216
160537,1,1.630221
160538,2,1.630259
160539,3,1.624720
160540,4,1.624725
160541,5,1.624668
160542,6,1.622728
160543,7,1.622763
160544,0,1.630198
160545,1,1.630223
160546,2,1.630307
160547,3,1.624633
160548,4,1.624683
160549,5,1.624726
160550,6,1.622651
160551,7,1.622828
160552,0,1.630204
160553,1,1.630197
160554,2,1.630198
160555,3,1.624666
160556,4,1.624607
160557,5,1.624638
160558,6,1.622779
160559,7,1.622627
160560,0,1.630221
160561,1,1.630333
160562,2,1.630180
160563,3,1.624670
160564,4,1.624695
160565,5,1.624584
160566,6,1.622819
160567,7,1.622863
160568,0,1.630233
160569,1,1.630152
160570,2,1.630298
160571,3,1.624632
160572,4,1.624731
160573,5,1.624559
160574,6,1.622764
160575,7,1.622731
160576,0,1.630263
160577,1,1.630249
160578,2,1.630174
160579,3,1.624784
160580,4,1.624736
160581,5,1.624616
160582,6,1.622818
160583,7,1.622691
160584,0,1.630196
160585,1,1.630220
160586,2,1.630139
160587,3,1.624608
160588,4,1.624667
160589,5,1.624581
160590,6,1.622772
160591,7,1.622699
160592,0,1.630226
160593,1,1.630199
160594,2,1.630292
160595,3,1.624619
160596,4,1.624673
160597,5,1.624613
160598,6,1.622711
160599,7,1.622719
160600,0,1.630258
