indice,canal,tensao
0,0,1.629672
1,1,1.629704
2,2,1.629704
3,3,1.629682
4,4,1.629676
5,5,1.629679
6,6,1.629699
7,7,1.629673
8,0,1.629720
9,1,1.629691
10,2,1.629695
11,3,1.629655
12,4,1.629654
13,5,1.629659
14,6,1.629669
15,7,1.629611
16,0,1.629702
17,1,1.629713
18,2,1.629664
19,3,1.629692
20,4,1.629704
21,5,1.629698
22,6,1.629674
23,7,1.629633
24,0,1.629704
25,1,1.629667
26,2,1.629689
27,3,1.629722
28,4,1.629689
29,5,1.629667
30,6,1.629646
31,7,1.629627
32,0,1.629736
33,1,1.629715
34,2,1.629699
35,3,1.629704
36,4,1.629687
37,5,1.629699
38,6,1.629637
39,7,1.629623
40,0,1.629690
41,1,1.629717
42,2,1.629701
43,3,1.629753
44,4,1.629674
45,5,1.629699
46,6,1.629683
47,7,1.629627
48,0,1.629720
49,1,1.629713
50,2,1.629717
51,3,1.629695
52,4,1.629665
53,5,1.629634
54,6,1.629651
55,7,1.629643
56,0,1.629708
57,1,1.629666
58,2,1.629670
59,3,1.629689
60,4,1.629688
61,5,1.629693
62,6,1.629662
63,7,1.629679
64,0,1.629706
65,1,1.629728
66,2,1.629660
67,3,1.629660
68,4,1.629661
69,5,1.629663
70,6,1.629663
71,7,1.629623
72,0,1.629683
73,1,1.629725
74,2,1.629677
75,3,1.629697
76,4,1.629717
77,5,1.629668
78,6,1.629656
79,7,1.629618
80,0,1.629660
81,1,1.629670
82,2,1.629688
83,3,1.629722
84,4,1.629655
85,5,1.629705
86,6,1.629632
87,7,1.629648
88,0,1.629717
89,1,1.629726
90,2,1.629735
91,3,1.629717
92,4,1.629680
93,5,1.629664
94,6,1.629646
95,7,1.629624
96,0,1.629699
97,1,1.629704
98,2,1.629693
99,3,1.629672
100,4,1.629658
101,5,1.629693
102,6,1.629645
103,7,1.629653
104,0,1.629694
105,1,1.629705
106,2,1.629720
107,3,1.629679
108,4,1.629655
109,5,1.629650
110,6,1.629658
111,7,1.629639
112,0,1.629684
113,1,1.629717
114,2,1.629693
115,3,1.629679
116,4,1.629702
117,5,1.629699
118,6,1.629664
119,7,1.629664
120,0,1.629709
121,1,1.629715
122,2,1.629678
123,3,1.629661
124,4,1.629679
125,5,1.629694
126,6,1.629661
127,7,1.629643
128,0,1.629693
129,1,1.629704
130,2,1.629691
131,3,1.629710
132,4,1.629707
133,5,1.629677
134,6,1.629684
135,7,1.629624
136,0,1.629699
137,1,1.629691
138,2,1.629692
139,3,1.629663
140,4,1.629669
141,5,1.629667
142,6,1.629684
143,7,1.629630
144,0,1.629705
145,1,1.629741
146,2,1.629744
147,3,1.629713
148,4,1.629696
149,5,1.629672
150,6,1.629634
151,7,1.629607
152,0,1.629689
