indice,canal,tensao
0,0,1.629466
1,1,1.629503
2,2,1.629477
3,3,1.629849
4,4,1.629837
5,5,1.629861
6,6,1.629670
7,7,1.629905
8,0,1.630030
9,1,1.629683
10,2,1.629674
11,3,1.629792
12,4,1.630100
13,5,1.629964
14,6,1.629888
15,7,1.629961
16,0,1.629753
17,1,1.629576
18,2,1.629772
19,3,1.629750
20,4,1.629580
21,5,1.629505
22,6,1.629556
23,7,1.629669
24,0,1.629668
25,1,1.629611
26,2,1.629734
27,3,1.629818
28,4,1.629812
29,5,1.629857
30,6,1.629979
31,7,1.629858
32,0,1.629826
33,1,1.630127
34,2,1.629975
35,3,1.629871
36,4,1.629987
37,5,1.629916
38,6,1.629974
39,7,1.629734
40,0,1.629630
41,1,1.630682
42,2,1.628912
43,3,1.629142
44,4,1.629516
45,5,1.629654
46,6,1.629612
47,7,1.629382
48,0,1.629539
49,1,1.629683
50,2,1.629326
51,3,1.629419
52,4,1.629969
53,5,1.629703
54,6,1.629654
55,7,1.629615
56,0,1.629465
57,1,1.629477
58,2,1.629416
59,3,1.629310
60,4,1.629682
61,5,1.629423
62,6,1.629507
63,7,1.629910
64,0,1.630147
65,1,1.629525
66,2,1.629521
67,3,1.629511
68,4,1.629626
69,5,1.629615
70,6,1.629327
71,7,1.629491
72,0,1.630015
73,1,1.630009
74,2,1.630015
75,3,1.630226
76,4,1.630174
77,5,1.630012
78,6,1.629862
79,7,1.629901
80,0,1.630065
81,1,1.630834
82,2,1.629179
83,3,1.629264
84,4,1.629369
85,5,1.629374
86,6,1.629565
87,7,1.629795
88,0,1.629516
89,1,1.629602
90,2,1.629949
91,3,1.629794
92,4,1.630049
93,5,1.629552
94,6,1.629641
95,7,1.629384
96,0,1.629245
97,1,1.629640
98,2,1.629747
99,3,1.629736
100,4,1.629997
101,5,1.629992
102,6,1.630080
103,7,1.629747
104,0,1.629658
105,1,1.629502
106,2,1.629564
107,3,1.629620
108,4,1.629966
109,5,1.629932
110,6,1.629854
111,7,1.629730
112,0,1.629633
113,1,1.629835
114,2,1.629646
115,3,1.629814
116,4,1.629897
117,5,1.630040
118,6,1.629742
119,7,1.629780
120,0,1.629611
121,1,1.630678
122,2,1.628978
123,3,1.629396
124,4,1.629759
125,5,1.629352
126,6,1.629815
127,7,1.629493
128,0,1.629521
129,1,1.630865
130,2,1.629433
131,3,1.629766
132,4,1.629850
133,5,1.629813
134,6,1.629551
135,7,1.629554
136,0,1.630093
137,1,1.629869
138,2,1.629733
139,3,1.629988
140,4,1.629852
141,5,1.629580
142,6,1.629661
143,7,1.629648
144,0,1.629771
145,1,1.629657
146,2,1.629989
147,3,1.630092
148,4,1.629748
149,5,1.629555
150,6,1.629894
151,7,1.629984
152,0,1.629843
153,1,1.630008
154,2,1.629933
155,3,1.630005
156,4,1.629736
157,5,1.629622
158,6,1.629787
159,7,1.629659
160,0,1.629835
161,1,1.630993
162,2,1.629092
163,3,1.628922
164,4,1.629388
165,5,1.629578
166,6,1.629797
167,7,1.629317
168,0,1.629640
169,1,1.629741
170,2,1.629729
171,3,1.629236
172,4,1.629974
173,5,1.629763
174,6,1.629699
175,7,1.629841
176,0,1.629859
177,1,1.629718
178,2,1.629687
179,3,1.629699
180,4,1.629640
181,5,1.629485
182,6,1.629501
183,7,1.629745
184,0,1.629657
185,1,1.629699
186,2,1.629629
187,3,1.630073
188,4,1.630193
189,5,1.629784
190,6,1.629605
191,7,1.629626
192,0,1.630097
193,1,1.629767
194,2,1.629924
195,3,1.629961
196,4,1.629916
197,5,1.629868
198,6,1.629649
199,7,1.629614
200,0,1.629897
201,1,1.630982
202,2,1.629193
203,3,1.629338
204,4,1.629689
205,5,1.629301
206,6,1.629437
207,7,1.629614
208,0,1.629911
209,1,1.629847
210,2,1.629972
211,3,1.629806
212,4,1.629950
213,5,1.629454
214,6,1.629595
215,7,1.629944
216,0,1.629694
217,1,1.629903
218,2,1.630135
219,3,1.629980
220,4,1.629671
221,5,1.629448
222,6,1.629606
223,7,1.629488
224,0,1.629627
225,1,1.629882
226,2,1.630016
227,3,1.629563
228,4,1.629484
229,5,1.629540
230,6,1.629613
231,7,1.629663
232,0,1.630054
233,1,1.629958
234,2,1.629962
235,3,1.629384
236,4,1.629742
237,5,1.629705
238,6,1.629832
239,7,1.629794
240,0,1.629961
241,1,1.630827
242,2,1.628776
243,3,1.629307
244,4,1.629662
245,5,1.629909
246,6,1.629536
247,7,1.629466
248,0,1.629294
249,1,1.629312
250,2,1.629261
251,3,1.629335
252,4,1.630136
253,5,1.629351
254,6,1.629598
255,7,1.629762
256,0,1.630023
257,1,1.629763
258,2,1.629730
259,3,1.629902
260,4,1.629976
261,5,1.629821
262,6,1.629640
263,7,1.629708
264,0,1.629851
265,1,1.629665
266,2,1.629868
267,3,1.630098
268,4,1.630007
269,5,1.629953
270,6,1.629717
271,7,1.629705
272,0,1.630065
273,1,1.629846
274,2,1.630084
275,3,1.630074
276,4,1.629654
277,5,1.629655
278,6,1.629975
279,7,1.630094
280,0,1.629612
281,1,1.630680
282,2,1.629038
283,3,1.629675
284,4,1.629563
285,5,1.629775
286,6,1.629763
287,7,1.629458
288,0,1.629296
289,1,1.629476
290,2,1.629591
291,3,1.629465
292,4,1.630057
293,5,1.629562
294,6,1.630005
295,7,1.629735
296,0,1.629574
297,1,1.629554
298,2,1.629558
299,3,1.629416
300,4,1.629768
301,5,1.629916
302,6,1.629649
303,7,1.629480
304,0,1.629591
305,1,1.629696
306,2,1.629873
307,3,1.630033
308,4,1.630046
309,5,1.629954
310,6,1.629746
311,7,1.629744
312,0,1.629779
313,1,1.629574
314,2,1.629549
315,3,1.629803
316,4,1.630112
317,5,1.629857
318,6,1.629753
319,7,1.629537
320,0,1.629858
321,1,1.629474
322,2,1.629177
323,3,1.629555
324,4,1.629936
325,5,1.629441
326,6,1.629378
327,7,1.629382
328,0,1.629586
329,1,1.630614
330,2,1.629722
331,3,1.629861
332,4,1.630113
333,5,1.629666
334,6,1.629673
335,7,1.629713
336,0,1.629931
337,1,1.629784
338,2,1.629710
339,3,1.629525
340,4,1.629493
341,5,1.629843
342,6,1.629815
343,7,1.629841
344,0,1.629700
345,1,1.629725
346,2,1.629657
347,3,1.629685
348,4,1.629581
349,5,1.629853
350,6,1.629956
351,7,1.629832
352,0,1.629777
353,1,1.629757
354,2,1.629661
355,3,1.629654
356,4,1.629905
357,5,1.629791
358,6,1.630207
359,7,1.629912
360,0,1.629822
361,1,1.630827
362,2,1.628875
363,3,1.629019
364,4,1.629331
365,5,1.629655
366,6,1.629478
367,7,1.629077
368,0,1.629564
369,1,1.629880
370,2,1.629727
371,3,1.629813
372,4,1.629884
373,5,1.629407
374,6,1.629559
375,7,1.629715
376,0,1.629964
377,1,1.629712
378,2,1.629685
379,3,1.629564
380,4,1.629882
381,5,1.629655
382,6,1.629782
383,7,1.629966
384,0,1.629832
385,1,1.629736
386,2,1.629667
387,3,1.629966
388,4,1.630023
389,5,1.630114
390,6,1.629838
391,7,1.629952
392,0,1.629902
393,1,1.629846
394,2,1.629829
395,3,1.629619
396,4,1.629745
397,5,1.629655
398,6,1.629598
399,7,1.629629
400,0,1.629614
401,1,1.630693
402,2,1.629098
403,3,1.629167
404,4,1.629506
405,5,1.629230
406,6,1.629272
407,7,1.629781
408,0,1.629611
409,1,1.629736
410,2,1.629797
411,3,1.629753
412,4,1.629910
413,5,1.629474
414,6,1.629544
415,7,1.629505
416,0,1.629312
417,1,1.629618
418,2,1.629859
419,3,1.629670
420,4,1.629884
421,5,1.630051
422,6,1.630174
423,7,1.629848
424,0,1.629924
425,1,1.629858
426,2,1.629556
427,3,1.629518
428,4,1.629385
429,5,1.629837
430,6,1.629838
431,7,1.629704
432,0,1.629983
433,1,1.630241
434,2,1.630141
435,3,1.630071
436,4,1.630167
437,5,1.630107
438,6,1.629778
439,7,1.629806
440,0,1.629756
441,1,1.630700
442,2,1.628827
443,3,1.629139
444,4,1.629425
445,5,1.629257
446,6,1.629413
447,7,1.628998
448,0,1.629639
449,1,1.630703
450,2,1.629304
451,3,1.629573
452,4,1.629559
453,5,1.629670
454,6,1.629445
455,7,1.629635
456,0,1.629827
457,1,1.629709
458,2,1.629699
459,3,1.629756
460,4,1.629961
461,5,1.630069
462,6,1.629906
463,7,1.629971
464,0,1.629877
465,1,1.629527
466,2,1.629709
467,3,1.629383
468,4,1.629755
469,5,1.629639
470,6,1.629742
471,7,1.630209
472,0,1.629864
473,1,1.629788
474,2,1.630058
475,3,1.630037
476,4,1.629887
477,5,1.629796
478,6,1.629739
479,7,1.629367
480,0,1.629640
481,1,1.630540
482,2,1.628628
483,3,1.628831
484,4,1.629122
485,5,1.629772
486,6,1.629931
487,7,1.629544
