indice,canal,tensao
0,0,1.649918
1,1,1.649838
2,2,1.649765
3,3,1.640681
4,4,1.640588
5,5,1.640688
6,6,1.628017
7,7,1.627939
8,0,1.649873
9,1,1.649821
10,2,1.649806
11,3,1.640552
12,4,1.640621
13,5,1.640525
14,6,1.627871
15,7,1.628045
16,0,1.650080
17,1,1.649974
18,2,1.650090
19,3,1.640753
20,4,1.640611
21,5,1.640481
22,6,1.627829
23,7,1.627969
24,0,1.649977
25,1,1.649948
26,2,1.649967
27,3,1.640711
28,4,1.640608
29,5,1.640761
30,6,1.628070
31,7,1.627955
32,0,1.649723
33,1,1.649862
34,2,1.649858
35,3,1.640550
36,4,1.640472
37,5,1.640722
38,6,1.628158
39,7,1.627954
40,0,1.650290
41,1,1.649681
42,2,1.649730
43,3,1.640608
44,4,1.640564
45,5,1.640530
46,6,1.627765
47,7,1.627625
48,0,1.649715
49,1,1.649914
50,2,1.649638
51,3,1.640972
52,4,1.640533
53,5,1.640533
54,6,1.627906
55,7,1.628042
56,0,1.649848
57,1,1.649831
58,2,1.649840
59,3,1.640561
60,4,1.640688
61,5,1.640673
62,6,1.628111
63,7,1.628092
64,0,1.650086
65,1,1.650097
66,2,1.649847
67,3,1.640874
68,4,1.640744
69,5,1.640697
70,6,1.628072
71,7,1.628027
72,0,1.650070
73,1,1.649997
74,2,1.649722
75,3,1.640561
76,4,1.640595
77,5,1.640579
78,6,1.628008
79,7,1.627854
80,0,1.650430
81,1,1.649590
82,2,1.649799
83,3,1.640631
84,4,1.640579
85,5,1.640555
86,6,1.627849
87,7,1.627891
88,0,1.649863
89,1,1.649722
90,2,1.649743
91,3,1.640794
92,4,1.640633
93,5,1.640687
94,6,1.628044
95,7,1.627950
96,0,1.649964
97,1,1.649927
98,2,1.649759
99,3,1.640590
100,4,1.640512
101,5,1.640677
102,6,1.628055
103,7,1.627825
104,0,1.649886
105,1,1.649868
106,2,1.649861
107,3,1.640466
108,4,1.640505
109,5,1.640506
110,6,1.628010
111,7,1.628081
112,0,1.650075
113,1,1.649821
114,2,1.649871
115,3,1.640680
116,4,1.640750
117,5,1.640611
118,6,1.627921
119,7,1.627796
120,0,1.650277
121,1,1.649536
122,2,1.649652
123,3,1.640409
124,4,1.640545
125,5,1.640441
126,6,1.627841
127,7,1.628012
128,0,1.649990
129,1,1.649755
130,2,1.649699
131,3,1.640588
132,4,1.640595
133,5,1.640574
134,6,1.627957
135,7,1.628029
136,0,1.649874
137,1,1.649902
138,2,1.650002
139,3,1.640654
140,4,1.640683
141,5,1.640458
142,6,1.627836
143,7,1.627942
144,0,1.649849
145,1,1.649830
146,2,1.649789
147,3,1.640609
148,4,1.640681
149,5,1.640564
150,6,1.628023
151,7,1.628050
152,0,1.649852
153,1,1.649946
154,2,1.649989
155,3,1.640860
156,4,1.640629
157,5,1.640527
158,6,1.627913
159,7,1.627851
160,0,1.650161
161,1,1.649550
162,2,1.649720
163,3,1.640620
164,4,1.640607
165,5,1.640621
166,6,1.627945
167,7,1.627983
168,0,1.649918
169,1,1.650002
170,2,1.649905
171,3,1.640763
172,4,1.640524
173,5,1.640545
174,6,1.627844
175,7,1.627802
176,0,1.649871
177,1,1.650060
178,2,1.650043
179,3,1.640723
180,4,1.640783
181,5,1.640719
182,6,1.628035
183,7,1.628021
184,0,1.649870
185,1,1.649929
186,2,1.650026
187,3,1.640860
188,4,1.640789
189,5,1.640770
190,6,1.628152
191,7,1.628066
192,0,1.650115
193,1,1.649814
194,2,1.649851
195,3,1.640628
196,4,1.640755
197,5,1.640709
198,6,1.628051
199,7,1.628045
200,0,1.650406
201,1,1.649594
202,2,1.649705
203,3,1.640525
204,4,1.640720
205,5,1.640690
206,6,1.627936
207,7,1.627792
208,0,1.649856
209,1,1.649904
210,2,1.649868
211,3,1.640716
212,4,1.640478
213,5,1.640416
214,6,1.628042
215,7,1.628053
216,0,1.650011
217,1,1.649988
218,2,1.649728
219,3,1.640618
220,4,1.640533
221,5,1.640648
222,6,1.628081
223,7,1.628086
224,0,1.649991
225,1,1.649986
226,2,1.649970
227,3,1.640794
228,4,1.640780
229,5,1.640509
230,6,1.628024
231,7,1.627785
232,0,1.649794
233,1,1.649767
234,2,1.649862
235,3,1.640623
236,4,1.640909
237,5,1.640564
238,6,1.627840
239,7,1.627877
240,0,1.650294
241,1,1.649576
242,2,1.649805
243,3,1.640676
244,4,1.640691
245,5,1.640486
246,6,1.627669
247,7,1.627653
248,0,1.649768
249,1,1.649756
250,2,1.649728
251,3,1.640678
252,4,1.640522
253,5,1.640610
254,6,1.627887
255,7,1.627909
256,0,1.650065
257,1,1.649946
258,2,1.649863
259,3,1.640696
260,4,1.640732
261,5,1.640740
262,6,1.628195
263,7,1.627811
264,0,1.649888
265,1,1.649639
266,2,1.649838
267,3,1.640536
268,4,1.640710
269,5,1.640596
270,6,1.627968
271,7,1.627950
272,0,1.650103
273,1,1.649891
274,2,1.649847
275,3,1.640528
276,4,1.640686
277,5,1.640733
278,6,1.627913
279,7,1.627970
280,0,1.650268
281,1,1.649404
282,2,1.649591
283,3,1.640520
284,4,1.640459
285,5,1.640345
286,6,1.627790
287,7,1.627940
288,0,1.649966
289,1,1.649621
290,2,1.649792
291,3,1.640704
292,4,1.640386
293,5,1.640576
294,6,1.627977
295,7,1.627853
296,0,1.649968
297,1,1.649918
298,2,1.649883
299,3,1.640680
300,4,1.640776
301,5,1.640766
302,6,1.628109
303,7,1.628019
304,0,1.650184
305,1,1.650094
306,2,1.649926
307,3,1.640781
308,4,1.640533
309,5,1.640584
310,6,1.627962
311,7,1.627999
312,0,1.649966
313,1,1.650145
314,2,1.649980
315,3,1.640718
316,4,1.640683
317,5,1.640728
318,6,1.627776
319,7,1.627735
320,0,1.650294
321,1,1.649969
322,2,1.649682
323,3,1.640546
324,4,1.640393
325,5,1.640373
326,6,1.627728
327,7,1.627798
328,0,1.650271
329,1,1.649948
330,2,1.649833
331,3,1.640720
332,4,1.640501
333,5,1.640543
334,6,1.627998
335,7,1.627997
336,0,1.649939
337,1,1.649851
338,2,1.649818
339,3,1.640630
340,4,1.640689
341,5,1.640733
342,6,1.628029
343,7,1.628167
344,0,1.649844
345,1,1.649806
346,2,1.649786
347,3,1.640627
348,4,1.640468
349,5,1.640519
350,6,1.627908
351,7,1.628044
352,0,1.650016
353,1,1.650071
354,2,1.649974
355,3,1.640586
356,4,1.640693
357,5,1.640750
358,6,1.627998
359,7,1.627801
360,0,1.650369
361,1,1.649765
362,2,1.649852
363,3,1.640595
364,4,1.640664
365,5,1.640638
366,6,1.627886
367,7,1.627961
368,0,1.649699
369,1,1.649858
370,2,1.649721
371,3,1.640666
372,4,1.640388
373,5,1.640496
374,6,1.627971
375,7,1.628028
376,0,1.649977
377,1,1.649942
378,2,1.649914
379,3,1.640674
380,4,1.640614
381,5,1.640458
382,6,1.628013
383,7,1.628054
384,0,1.650022
385,1,1.650006
386,2,1.649718
387,3,1.640477
388,4,1.640764
389,5,1.640759
390,6,1.627988
391,7,1.627925
392,0,1.649770
393,1,1.649978
394,2,1.649974
395,3,1.640660
396,4,1.640691
397,5,1.640685
398,6,1.627928
399,7,1.627869
400,0,1.650302
401,1,1.649571
402,2,1.649888
403,3,1.640657
404,4,1.640319
405,5,1.640663
406,6,1.627911
407,7,1.627911
408,0,1.650003
409,1,1.649767
410,2,1.649736
411,3,1.640918
412,4,1.640579
413,5,1.640481
414,6,1.627893
415,7,1.628084
416,0,1.649821
417,1,1.649836
418,2,1.650125
419,3,1.640496
420,4,1.640790
421,5,1.640750
422,6,1.628047
423,7,1.628073
424,0,1.649871
425,1,1.649857
426,2,1.649852
427,3,1.640730
428,4,1.640750
429,5,1.640697
430,6,1.628085
431,7,1.627988
432,0,1.649997
433,1,1.649788
434,2,1.649789
435,3,1.640440
436,4,1.640592
437,5,1.640562
438,6,1.628040
439,7,1.628197
440,0,1.650249
441,1,1.649483
442,2,1.649441
443,3,1.640595
444,4,1.640591
445,5,1.640624
446,6,1.627690
447,7,1.627624
448,0,1.649932
449,1,1.649730
450,2,1.649585
451,3,1.640555
452,4,1.640746
453,5,1.640871
454,6,1.627828
455,7,1.627868
456,0,1.649883
457,1,1.649789
458,2,1.649930
459,3,1.640736
460,4,1.640822
461,5,1.640687
462,6,1.627762
463,7,1.628056
464,0,1.650189
465,1,1.649922
466,2,1.649904
467,3,1.640576
468,4,1.640593
469,5,1.640712
470,6,1.628058
471,7,1.628104
472,0,1.650119
473,1,1.649817
474,2,1.649860
475,3,1.640829
476,4,1.640807
477,5,1.640713
478,6,1.627987
479,7,1.627819
480,0,1.650523
481,1,1.649776
482,2,1.649817
483,3,1.640339
484,4,1.640475
485,5,1.640687
486,6,1.628036
487,7,1.627932
488,0,1.649919
489,1,1.649814
490,2,1.649728
491,3,1.640815
492,4,1.640540
493,5,1.640550
494,6,1.627962
495,7,1.627878
496,0,1.649813
497,1,1.650054
498,2,1.649978
499,3,1.640733
500,4,1.640413
501,5,1.640558
502,6,1.628008
503,7,1.628147
504,0,1.649857
505,1,1.649743
506,2,1.649833
507,3,1.640756
508,4,1.640747
509,5,1.640518
510,6,1.627901
511,7,1.628087
512,0,1.650099
513,1,1.649940
514,2,1.649985
515,3,1.640760
516,4,1.640733
517,5,1.640731
518,6,1.627832
519,7,1.627890
520,0,1.650513
521,1,1.649568
522,2,1.649691
523,3,1.640262
524,4,1.640768
525,5,1.640553
526,6,1.627643
527,7,1.627697
528,0,1.650105
529,1,1.649739
530,2,1.649727
531,3,1.640671
532,4,1.640565
533,5,1.640784
534,6,1.628004
535,7,1.627945
536,0,1.650047
537,1,1.649954
538,2,1.649785
539,3,1.640635
540,4,1.640676
541,5,1.640782
542,6,1.628155
543,7,1.627787
544,0,1.650031
545,1,1.650043
546,2,1.650028
547,3,1.640497
548,4,1.640732
549,5,1.640809
550,6,1.627763
551,7,1.628133
552,0,1.650144
553,1,1.649677
554,2,1.650025
555,3,1.640735
556,4,1.640797
557,5,1.640423
558,6,1.627837
559,7,1.628015
560,0,1.650224
561,1,1.649572
562,2,1.649770
563,3,1.640633
564,4,1.640659
565,5,1.640332
566,6,1.627859
567,7,1.627886
568,0,1.649901
569,1,1.649565
570,2,1.649727
571,3,1.640781
572,4,1.640682
573,5,1.640429
574,6,1.627903
575,7,1.627828
576,0,1.650090
577,1,1.649907
578,2,1.649830
579,3,1.640751
580,4,1.640709
581,5,1.640705
582,6,1.627848
583,7,1.627899
584,0,1.649683
585,1,1.650063
586,2,1.649778
587,3,1.640549
588,4,1.640769
589,5,1.640765
590,6,1.628132
591,7,1.627929
592,0,1.649821
593,1,1.649937
594,2,1.650065
595,3,1.640508
596,4,1.640521
597,5,1.640623
598,6,1.627987
599,7,1.628208
600,0,1.650525
601,1,1.649415
602,2,1.649812
603,3,1.640725
604,4,1.640650
605,5,1.640642
606,6,1.627660
607,7,1.627906
608,0,1.649928
609,1,1.649598
610,2,1.649873
611,3,1.640817
612,4,1.640611
613,5,1.640785
614,6,1.628075
615,7,1.628067
616,0,1.649852
617,1,1.649868
618,2,1.650026
619,3,1.640779
620,4,1.640668
621,5,1.640413
622,6,1.627859
623,7,1.628006
624,0,1.650029
625,1,1.650105
626,2,1.649878
627,3,1.640626
628,4,1.640435
629,5,1.640640
630,6,1.627856
631,7,1.628087
632,0,1.650118
633,1,1.649857
634,2,1.649699
635,3,1.640660
636,4,1.640759
637,5,1.640711
638,6,1.627958
639,7,1.628062
640,0,1.650469
641,1,1.649823
642,2,1.649759
643,3,1.640680
644,4,1.640385
645,5,1.640394
646,6,1.628099
647,7,1.627989
648,0,1.650216
649,1,1.649731
650,2,1.649989
651,3,1.640763
652,4,1.640522
653,5,1.640651
654,6,1.628129
655,7,1.628183
656,0,1.649982
657,1,1.649739
658,2,1.650115
659,3,1.640792
660,4,1.640585
661,5,1.640686
662,6,1.628020
663,7,1.628165
