indice,canal,tensao
320000,0,1.630358
320001,1,1.630281
320002,2,1.630324
320003,3,1.624773
320004,4,1.624769
320005,5,1.624653
320006,6,1.622851
320007,7,1.622842
320008,0,1.630415
320009,1,1.630417
320010,2,1.630417
320011,3,1.624723
320012,4,1.624774
320013,5,1.624632
320014,6,1.622701
320015,7,1.622749
320016,0,1.630428
320017,1,1.630397
320018,2,1.630396
320019,3,1.624744
320020,4,1.624727
320021,5,1.624700
320022,6,1.622845
320023,7,1.622885
320024,0,1.630268
320025,1,1.630296
320026,2,1.630265
320027,3,1.624783
320028,4,1.624759
320029,5,1.624689
320030,6,1.622776
320031,7,1.622701
320032,0,1.630292
320033,1,1.630277
320034,2,1.630467
320035,3,1.624768
320036,4,1.624775
320037,5,1.624621
320038,6,1.622907
320039,7,1.622807
320040,0,1.630311
320041,1,1.630619
320042,2,1.629987
320043,3,1.624370
320044,4,1.624506
320045,5,1.624558
320046,6,1.622657
320047,7,1.622574
320048,0,1.630068
320049,1,1.630251
320050,2,1.630129
320051,3,1.624436
320052,4,1.624540
320053,5,1.624426
320054,6,1.622699
320055,7,1.622568
320056,0,1.630123
320057,1,1.630170
320058,2,1.630188
320059,3,1.624650
320060,4,1.624843
320061,5,1.624656
320062,6,1.622837
320063,7,1.622847
320064,0,1.630403
320065,1,1.630108
320066,2,1.630235
320067,3,1.624670
320068,4,1.624660
320069,5,1.624590
320070,6,1.622699
320071,7,1.622787
320072,0,1.630303
320073,1,1.630185
320074,2,1.630182
320075,3,1.624638
320076,4,1.624666
320077,5,1.624503
320078,6,1.622689
320079,7,1.622624
320080,0,1.630256
320081,1,1.630592
320082,2,1.629990
320083,3,1.624449
320084,4,1.624526
320085,5,1.624505
320086,6,1.622688
320087,7,1.622678
320088,0,1.630197
320089,1,1.630245
320090,2,1.630235
320091,3,1.624738
320092,4,1.624853
320093,5,1.624551
320094,6,1.622825
320095,7,1.622830
320096,0,1.630374
320097,1,1.630388
320098,2,1.630472
320099,3,1.624696
320100,4,1.624668
320101,5,1.624407
320102,6,1.622762
320103,7,1.622627
320104,0,1.630315
320105,1,1.630238
320106,2,1.630325
320107,3,1.624609
320108,4,1.624557
320109,5,1.624600
320110,6,1.622705
320111,7,1.622657
320112,0,1.630234
320113,1,1.630260
320114,2,1.630147
320115,3,1.624519
320116,4,1.624653
320117,5,1.624582
320118,6,1.622747
320119,7,1.622778
320120,0,1.630356
320121,1,1.630705
320122,2,1.630007
320123,3,1.624449
320124,4,1.624574
320125,5,1.624464
320126,6,1.622632
320127,7,1.622632
320128,0,1.630160
320129,1,1.630666
320130,2,1.630174
320131,3,1.624727
320132,4,1.624767
320133,5,1.624727
320134,6,1.622829
320135,7,1.622781
320136,0,1.630444
320137,1,1.630371
320138,2,1.630415
320139,3,1.624706
320140,4,1.624719
320141,5,1.624610
320142,6,1.622720
320143,7,1.622689
320144,0,1.630229
320145,1,1.630282
320146,2,1.630280
320147,3,1.624718
320148,4,1.624614
320149,5,1.624616
320150,6,1.622856
320151,7,1.622906
320152,0,1.630364
320153,1,1.630420
320154,2,1.630390
320155,3,1.624818
320156,4,1.624764
320157,5,1.624640
320158,6,1.622761
320159,7,1.622648
320160,0,1.630229
320161,1,1.630587
320162,2,1.629937
320163,3,1.624397
320164,4,1.624526
320165,5,1.624389
320166,6,1.622709
320167,7,1.622547
320168,0,1.630161
320169,1,1.630266
320170,2,1.630242
320171,3,1.624558
320172,4,1.624455
320173,5,1.624426
320174,6,1.622620
320175,7,1.622649
320176,0,1.630245
320177,1,1.630363
320178,2,1.630365
320179,3,1.624734
320180,4,1.624712
320181,5,1.624659
320182,6,1.622838
320183,7,1.622745
320184,0,1.630317
320185,1,1.630368
320186,2,1.630333
320187,3,1.624751
320188,4,1.624845
320189,5,1.624609
320190,6,1.622757
320191,7,1.622648
320192,0,1.630259
320193,1,1.630317
320194,2,1.630192
320195,3,1.624698
320196,4,1.624640
320197,5,1.624495
320198,6,1.622764
320199,7,1.622822
320200,0,1.630343
320201,1,1.630685
320202,2,1.630079
320203,3,1.624599
320204,4,1.624741
320205,5,1.624553
320206,6,1.622685
320207,7,1.622568
320208,0,1.630057
320209,1,1.630166
320210,2,1.630216
320211,3,1.624594
320212,4,1.624717
320213,5,1.624562
320214,6,1.622723
320215,7,1.622803
320216,0,1.630269
320217,1,1.630383
320218,2,1.630237
320219,3,1.624738
320220,4,1.624650
320221,5,1.624569
320222,6,1.622818
320223,7,1.622787
320224,0,1.630337
320225,1,1.630356
320226,2,1.630461
320227,3,1.624725
320228,4,1.624712
320229,5,1.624539
320230,6,1.622857
320231,7,1.622735
320232,0,1.630238
320233,1,1.630279
320234,2,1.630257
320235,3,1.624570
320236,4,1.624636
320237,5,1.624686
320238,6,1.622785
320239,7,1.622712
320240,0,1.630146
320241,1,1.630594
320242,2,1.629803
320243,3,1.624367
320244,4,1.624494
320245,5,1.624457
320246,6,1.622692
320247,7,1.622541
320248,0,1.629986
320249,1,1.630054
320250,2,1.630218
320251,3,1.624669
320252,4,1.624862
320253,5,1.624531
320254,6,1.622747
320255,7,1.622703
320256,0,1.630266
320257,1,1.630198
320258,2,1.630266
320259,3,1.624578
320260,4,1.624550
320261,5,1.624577
320262,6,1.622731
320263,7,1.622621
320264,0,1.630282
320265,1,1.630316
320266,2,1.630380
320267,3,1.624662
320268,4,1.624772
320269,5,1.624624
320270,6,1.622790
320271,7,1.622773
320272,0,1.630331
320273,1,1.630301
320274,2,1.630376
320275,3,1.624818
320276,4,1.624732
320277,5,1.624455
320278,6,1.622827
320279,7,1.622910
320280,0,1.630313
320281,1,1.630733
320282,2,1.630107
320283,3,1.624470
320284,4,1.624456
320285,5,1.624472
320286,6,1.622559
320287,7,1.622489
320288,0,1.630111
320289,1,1.630265
320290,2,1.630229
320291,3,1.624491
320292,4,1.624644
320293,5,1.624306
320294,6,1.622750
320295,7,1.622720
320296,0,1.630129
320297,1,1.630188
320298,2,1.630352
320299,3,1.624769
320300,4,1.624709
320301,5,1.624622
320302,6,1.622796
320303,7,1.622775
320304,0,1.630345
320305,1,1.630432
320306,2,1.630316
320307,3,1.624650
320308,4,1.624656
320309,5,1.624656
320310,6,1.622714
320311,7,1.622708
320312,0,1.630185
320313,1,1.630198
320314,2,1.630194
320315,3,1.624542
320316,4,1.624731
320317,5,1.624532
320318,6,1.622708
320319,7,1.622632
320320,0,1.630248
320321,1,1.630347
320322,2,1.630121
320323,3,1.624690
320324,4,1.624796
320325,5,1.624582
320326,6,1.622757
320327,7,1.622683
320328,0,1.630273
320329,1,1.630527
320330,2,1.630138
320331,3,1.624577
320332,4,1.624703
320333,5,1.624645
320334,6,1.622717
320335,7,1.622729
320336,0,1.630194
320337,1,1.630180
320338,2,1.630233
320339,3,1.624590
320340,4,1.624650
320341,5,1.624660
320342,6,1.622773
320343,7,1.622844
320344,0,1.630311
320345,1,1.630195
320346,2,1.630378
320347,3,1.624807
320348,4,1.624722
320349,5,1.624539
320350,6,1.622782
320351,7,1.622642
320352,0,1.630195
320353,1,1.630228
320354,2,1.630398
320355,3,1.624862
320356,4,1.624703
320357,5,1.624520
320358,6,1.622928
320359,7,1.622699
320360,0,1.630206
320361,1,1.630608
320362,2,1.630145
320363,3,1.624637
320364,4,1.624610
320365,5,1.624610
320366,6,1.622610
320367,7,1.622481
320368,0,1.630155
320369,1,1.630252
320370,2,1.630176
320371,3,1.624551
320372,4,1.624717
320373,5,1.624584
320374,6,1.622767
320375,7,1.622809
320376,0,1.630185
320377,1,1.630220
320378,2,1.630218
320379,3,1.624613
320380,4,1.624777
320381,5,1.624458
320382,6,1.622562
320383,7,1.622643
320384,0,1.630331
320385,1,1.630174
320386,2,1.630115
320387,3,1.624748
320388,4,1.624722
320389,5,1.624647
320390,6,1.622787
320391,7,1.622787
320392,0,1.630269
320393,1,1.630290
320394,2,1.630328
320395,3,1.624799
320396,4,1.624779
320397,5,1.624658
320398,6,1.622818
320399,7,1.622800
320400,0,1.630384
320401,1,1.630666
320402,2,1.629971
320403,3,1.624412
320404,4,1.624373
320405,5,1.624494
320406,6,1.622549
320407,7,1.622620
320408,0,1.630170
320409,1,1.630256
320410,2,1.630141
320411,3,1.624621
320412,4,1.624740
320413,5,1.624442
320414,6,1.622798
320415,7,1.622593
320416,0,1.630222
320417,1,1.630344
320418,2,1.630450
320419,3,1.624693
320420,4,1.624787
320421,5,1.624597
320422,6,1.622890
320423,7,1.622819
320424,0,1.630138
320425,1,1.630195
320426,2,1.630300
320427,3,1.624663
320428,4,1.624587
320429,5,1.624606
320430,6,1.622789
320431,7,1.622875
320432,0,1.630362
320433,1,1.630449
320434,2,1.630355
320435,3,1.624723
320436,4,1.624621
320437,5,1.624712
320438,6,1.622828
320439,7,1.622723
320440,0,1.630238
320441,1,1.630633
320442,2,1.629900
320443,3,1.624389
320444,4,1.624668
320445,5,1.624560
320446,6,1.622786
320447,7,1.622716
320448,0,1.630345
320449,1,1.630500
320450,2,1.630230
320451,3,1.624737
320452,4,1.624695
320453,5,1.624671
320454,6,1.622840
320455,7,1.622868
320456,0,1.630412
320457,1,1.630360
320458,2,1.630387
320459,3,1.624610
320460,4,1.624539
320461,5,1.624539
320462,6,1.622759
320463,7,1.622769
320464,0,1.630415
320465,1,1.630163
320466,2,1.630220
320467,3,1.624652
320468,4,1.624693
320469,5,1.624578
320470,6,1.622827
320471,7,1.622822
320472,0,1.630223
320473,1,1.630272
320474,2,1.630238
320475,3,1.624601
320476,4,1.624572
320477,5,1.624640
320478,6,1.622933
320479,7,1.622743
320480,0,1.630221
320481,1,1.630486
320482,2,1.629939
320483,3,1.624492
320484,4,1.624486
320485,5,1.624367
320486,6,1.622812
320487,7,1.622584
320488,0,1.630181
320489,1,1.630234
320490,2,1.630334
320491,3,1.624620
320492,4,1.624791
320493,5,1.624537
320494,6,1.622653
320495,7,1.622723
320496,0,1.630321
320497,1,1.630310
320498,2,1.630124
320499,3,1.624643
320500,4,1.624802
320501,5,1.624692
320502,6,1.622661
320503,7,1.622745
320504,0,1.630285
320505,1,1.630239
320506,2,1.630211
320507,3,1.624735
320508,4,1.624898
320509,5,1.624724
320510,6,1.622818
320511,7,1.622815
320512,0,1.630425
320513,1,1.630191
320514,2,1.630148
320515,3,1.624666
320516,4,1.624553
320517,5,1.624624
320518,6,1.622780
320519,7,1.622854
320520,0,1.630344
320521,1,1.630508
320522,2,1.629904
320523,3,1.624435
320524,4,1.624490
320525,5,1.624458
320526,6,1.622613
320527,7,1.622435
320528,0,1.630226
320529,1,1.630313
320530,2,1.630216
320531,3,1.624629
320532,4,1.624671
320533,5,1.624436
320534,6,1.622653
320535,7,1.622923
320536,0,1.630321
320537,1,1.630355
320538,2,1.630387
320539,3,1.624822
320540,4,1.624712
320541,5,1.624442
320542,6,1.622728
320543,7,1.622851
320544,0,1.630299
320545,1,1.630149
320546,2,1.630279
320547,3,1.624551
320548,4,1.624643
320549,5,1.624548
320550,6,1.622952
320551,7,1.622844
320552,0,1.630264
320553,1,1.630313
320554,2,1.630341
320555,3,1.624604
320556,4,1.624591
320557,5,1.624677
320558,6,1.622710
320559,7,1.622681
320560,0,1.630239
320561,1,1.630781
320562,2,1.630043
320563,3,1.624589
320564,4,1.624718
320565,5,1.624621
320566,6,1.622748
320567,7,1.622647
320568,0,1.630234
320569,1,1.630300
320570,2,1.630334
320571,3,1.624579
320572,4,1.624833
320573,5,1.624447
320574,6,1.622742
320575,7,1.622728
320576,0,1.630366
320577,1,1.630337
320578,2,1.630231
320579,3,1.624742
320580,4,1.624519
320581,5,1.624718
320582,6,1.622874
320583,7,1.622769
320584,0,1.630151
320585,1,1.630177
320586,2,1.630234
320587,3,1.624579
320588,4,1.624715
320589,5,1.624627
320590,6,1.622868
320591,7,1.622629
320592,0,1.630134
320593,1,1.630351
320594,2,1.630349
320595,3,1.624656
320596,4,1.624542
320597,5,1.624647
320598,6,1.622898
320599,7,1.622886
320600,0,1.630293
320601,1,1.630660
320602,2,1.629952
320603,3,1.624607
320604,4,1.624588
320605,5,1.624495
320606,6,1.622623
320607,7,1.622704
320608,0,1.630305
320609,1,1.630232
320610,2,1.630328
320611,3,1.624669
320612,4,1.624816
320613,5,1.624277
320614,6,1.622749
320615,7,1.622667
320616,0,1.630113
320617,1,1.630185
320618,2,1.630287
320619,3,1.624782
320620,4,1.624774
320621,5,1.624671
320622,6,1.622758
320623,7,1.622775
320624,0,1.630216
320625,1,1.630301
320626,2,1.630321
320627,3,1.624723
320628,4,1.624882
320629,5,1.624699
320630,6,1.622833
320631,7,1.622809
320632,0,1.630346
320633,1,1.630315
320634,2,1.630273
320635,3,1.624494
320636,4,1.624717
320637,5,1.624615
320638,6,1.622735
320639,7,1.622714
320640,0,1.630480
320641,1,1.630247
320642,2,1.629986
320643,3,1.624432
320644,4,1.624578
320645,5,1.624532
320646,6,1.622759
320647,7,1.622704
320648,0,1.630111
320649,1,1.630457
320650,2,1.630148
320651,3,1.624526
320652,4,1.624575
320653,5,1.624527
320654,6,1.622913
320655,7,1.622840
320656,0,1.630404
320657,1,1.630324
320658,2,1.630358
320659,3,1.624757
320660,4,1.624715
320661,5,1.624503
320662,6,1.622671
320663,7,1.622741
320664,0,1.630208
320665,1,1.630211
320666,2,1.630304
320667,3,1.624709
320668,4,1.624533
320669,5,1.624661
320670,6,1.622804
320671,7,1.622769
320672,0,1.630350
320673,1,1.630368
320674,2,1.630360
320675,3,1.624693
320676,4,1.624467
320677,5,1.624593
320678,6,1.622921
320679,7,1.622789
320680,0,1.630268
320681,1,1.630631
320682,2,1.630058
320683,3,1.624500
320684,4,1.624590
320685,5,1.624580
320686,6,1.622740
320687,7,1.622793
320688,0,1.630219
320689,1,1.630441
320690,2,1.630259
320691,3,1.624372
320692,4,1.624634
320693,5,1.624600
320694,6,1.622659
320695,7,1.622744
320696,0,1.630136
320697,1,1.630394
320698,2,1.630440
320699,3,1.624700
320700,4,1.624782
320701,5,1.624504
320702,6,1.622702
320703,7,1.622543
320704,0,1.630445
320705,1,1.630130
320706,2,1.630204
320707,3,1.624588
320708,4,1.624672
320709,5,1.624650
320710,6,1.622724
320711,7,1.622558
320712,0,1.630195
320713,1,1.630266
320714,2,1.630201
320715,3,1.624742
320716,4,1.624787
320717,5,1.624505
320718,6,1.622624
320719,7,1.622592
320720,0,1.630197
320721,1,1.630503
320722,2,1.629927
320723,3,1.624467
320724,4,1.624657
320725,5,1.624590
320726,6,1.622595
320727,7,1.622648
320728,0,1.630189
320729,1,1.630354
320730,2,1.630322
320731,3,1.624583
320732,4,1.624703
320733,5,1.624419
320734,6,1.622720
320735,7,1.622640
320736,0,1.630242
320737,1,1.630266
320738,2,1.630447
320739,3,1.624777
320740,4,1.624631
320741,5,1.624582
320742,6,1.622837
320743,7,1.622790
320744,0,1.630376
320745,1,1.630276
320746,2,1.630255
320747,3,1.624631
320748,4,1.624681
320749,5,1.624606
320750,6,1.622756
320751,7,1.622755
320752,0,1.630185
320753,1,1.630315
320754,2,1.630242
320755,3,1.624787
320756,4,1.624720
320757,5,1.624670
320758,6,1.622856
320759,7,1.622864
320760,0,1.630321
320761,1,1.630625
320762,2,1.629959
320763,3,1.624439
320764,4,1.624636
320765,5,1.624448
320766,6,1.622686
320767,7,1.622463
320768,0,1.630225
320769,1,1.630576
320770,2,1.630236
320771,3,1.624687
320772,4,1.624786
320773,5,1.624568
320774,6,1.622768
320775,7,1.622815
320776,0,1.630383
320777,1,1.630386
320778,2,1.630333
320779,3,1.624748
320780,4,1.624761
320781,5,1.624476
320782,6,1.622683
320783,7,1.622679
320784,0,1.630346
320785,1,1.630356
320786,2,1.630272
320787,3,1.624644
320788,4,1.624532
320789,5,1.624501
320790,6,1.622699
320791,7,1.622749
320792,0,1.630243
320793,1,1.630226
320794,2,1.630343
320795,3,1.624789
320796,4,1.624676
320797,5,1.624655
320798,6,1.622910
320799,7,1.622874
320800,0,1.630399
320801,1,1.630674
320802,2,1.630165
320803,3,1.624402
320804,4,1.624460
320805,5,1.624440
320806,6,1.622781
320807,7,1.622618
320808,0,1.630297
320809,1,1.630203
320810,2,1.630180
320811,3,1.624565
320812,4,1.624693
320813,5,1.624389
320814,6,1.622668
320815,7,1.622635
320816,0,1.630130
320817,1,1.630434
320818,2,1.630255
320819,3,1.624702
320820,4,1.624645
320821,5,1.624557
320822,6,1.622678
320823,7,1.622466
320824,0,1.630266
320825,1,1.630327
320826,2,1.630303
320827,3,1.624709
320828,4,1.624806
320829,5,1.624658
320830,6,1.622706
320831,7,1.622558
320832,0,1.630304
320833,1,1.630082
320834,2,1.630191
320835,3,1.624824
320836,4,1.624786
320837,5,1.624529
320838,6,1.622707
320839,7,1.622680
320840,0,1.630294
320841,1,1.630635
320842,2,1.630082
320843,3,1.624562
320844,4,1.624629
320845,5,1.624528
320846,6,1.622574
320847,7,1.622535
320848,0,1.630067
320849,1,1.630148
320850,2,1.630218
320851,3,1.624739
320852,4,1.624793
320853,5,1.624583
320854,6,1.622811
320855,7,1.622959
320856,0,1.630396
320857,1,1.630237
320858,2,1.630251
320859,3,1.624702
320860,4,1.624641
320861,5,1.624683
320862,6,1.622810
320863,7,1.622819
320864,0,1.630430
320865,1,1.630375
320866,2,1.630384
320867,3,1.624636
320868,4,1.624556
320869,5,1.624480
320870,6,1.622832
320871,7,1.622762
320872,0,1.630208
320873,1,1.630265
320874,2,1.630333
320875,3,1.624601
320876,4,1.624521
320877,5,1.624613
320878,6,1.622773
320879,7,1.622881
320880,0,1.630104
320881,1,1.630556
320882,2,1.629864
320883,3,1.624479
320884,4,1.624382
320885,5,1.624544
320886,6,1.622666
320887,7,1.622692
320888,0,1.630173
320889,1,1.630039
320890,2,1.630222
320891,3,1.624547
320892,4,1.624812
320893,5,1.624452
320894,6,1.622818
320895,7,1.622776
320896,0,1.630307
320897,1,1.630359
320898,2,1.630062
320899,3,1.624722
320900,4,1.624756
320901,5,1.624728
320902,6,1.622803
320903,7,1.622768
320904,0,1.630166
320905,1,1.630265
320906,2,1.630272
320907,3,1.624740
320908,4,1.624621
320909,5,1.624462
320910,6,1.622813
320911,7,1.622638
320912,0,1.630200
320913,1,1.630343
320914,2,1.630349
320915,3,1.624754
320916,4,1.624793
320917,5,1.624669
320918,6,1.622860
320919,7,1.622990
320920,0,1.630392
320921,1,1.630586
320922,2,1.630011
320923,3,1.624672
320924,4,1.624596
320925,5,1.624494
320926,6,1.622660
320927,7,1.622596
320928,0,1.630188
320929,1,1.630386
320930,2,1.630156
320931,3,1.624432
320932,4,1.624729
320933,5,1.624436
320934,6,1.622611
320935,7,1.622664
320936,0,1.630332
320937,1,1.630349
320938,2,1.630358
320939,3,1.624819
320940,4,1.624432
320941,5,1.624523
320942,6,1.622826
320943,7,1.622838
320944,0,1.630023
320945,1,1.630315
320946,2,1.630302
320947,3,1.624734
320948,4,1.624781
320949,5,1.624681
320950,6,1.622686
320951,7,1.622729
320952,0,1.630299
320953,1,1.630272
320954,2,1.630298
320955,3,1.624774
320956,4,1.624902
320957,5,1.624609
320958,6,1.622567
320959,7,1.622553
320960,0,1.630233
320961,1,1.630343
320962,2,1.630135
320963,3,1.624600
320964,4,1.624603
320965,5,1.624450
320966,6,1.622570
320967,7,1.622565
320968,0,1.630085
320969,1,1.630563
320970,2,1.630300
320971,3,1.624718
320972,4,1.624815
320973,5,1.624652
320974,6,1.622855
320975,7,1.622876
320976,0,1.630269
320977,1,1.630226
320978,2,1.630222
320979,3,1.624597
320980,4,1.624596
320981,5,1.624581
320982,6,1.622646
320983,7,1.622792
320984,0,1.630251
320985,1,1.630346
320986,2,1.630287
320987,3,1.624822
320988,4,1.624699
320989,5,1.624658
320990,6,1.622918
320991,7,1.622826
320992,0,1.630292
320993,1,1.630273
320994,2,1.630177
320995,3,1.624552
320996,4,1.624666
320997,5,1.624497
320998,6,1.622680
320999,7,1.622648
321000,0,1.630208
321001,1,1.630645
321002,2,1.630033
321003,3,1.624569
321004,4,1.624524
321005,5,1.624500
321006,6,1.622506
321007,7,1.622608
321008,0,1.630195
321009,1,1.630389
321010,2,1.630278
321011,3,1.624739
321012,4,1.624762
321013,5,1.624451
321014,6,1.622729
321015,7,1.622689
321016,0,1.630213
321017,1,1.630147
321018,2,1.630239
321019,3,1.624608
321020,4,1.624869
321021,5,1.624532
321022,6,1.622854
321023,7,1.622873
321024,0,1.630280
321025,1,1.630164
321026,2,1.630179
321027,3,1.624790
321028,4,1.624784
321029,5,1.624662
321030,6,1.622850
321031,7,1.622849
321032,0,1.630419
321033,1,1.630262
321034,2,1.630352
321035,3,1.624724
321036,4,1.624832
321037,5,1.624681
321038,6,1.622888
321039,7,1.622875
321040,0,1.630386
321041,1,1.630744
321042,2,1.630003
321043,3,1.624520
321044,4,1.624521
321045,5,1.624433
321046,6,1.622543
321047,7,1.622777
321048,0,1.630127
321049,1,1.630278
321050,2,1.630026
321051,3,1.624702
321052,4,1.624898
321053,5,1.624405
321054,6,1.622657
321055,7,1.622915
321056,0,1.630295
321057,1,1.630262
321058,2,1.630315
321059,3,1.624634
321060,4,1.624478
321061,5,1.624558
321062,6,1.622889
321063,7,1.622885
321064,0,1.630347
321065,1,1.630276
321066,2,1.630193
321067,3,1.624561
321068,4,1.624677
321069,5,1.624738
321070,6,1.622666
321071,7,1.622843
321072,0,1.630316
321073,1,1.630425
321074,2,1.630343
321075,3,1.624732
321076,4,1.624804
321077,5,1.624509
321078,6,1.622750
321079,7,1.622593
321080,0,1.630178
321081,1,1.630681
321082,2,1.630108
321083,3,1.624474
321084,4,1.624640
321085,5,1.624405
321086,6,1.622584
321087,7,1.622414
321088,0,1.630167
321089,1,1.630638
321090,2,1.630172
321091,3,1.624736
321092,4,1.624746
321093,5,1.624478
321094,6,1.622846
321095,7,1.622674
321096,0,1.630278
321097,1,1.630372
321098,2,1.630407
321099,3,1.624753
321100,4,1.624771
321101,5,1.624620
321102,6,1.622714
321103,7,1.622700
321104,0,1.630347
321105,1,1.630346
321106,2,1.630318
321107,3,1.624711
321108,4,1.624697
321109,5,1.624596
321110,6,1.622674
321111,7,1.622718
321112,0,1.630198
321113,1,1.630192
321114,2,1.630213
321115,3,1.624771
321116,4,1.624622
321117,5,1.624523
321118,6,1.622926
321119,7,1.622828
321120,0,1.630321
321121,1,1.630717
321122,2,1.630083
321123,3,1.624210
321124,4,1.624651
321125,5,1.624509
321126,6,1.622674
321127,7,1.622530
321128,0,1.630046
321129,1,1.630133
321130,2,1.630187
321131,3,1.624696
321132,4,1.624723
321133,5,1.624479
321134,6,1.622723
321135,7,1.622754
321136,0,1.630179
321137,1,1.630260
321138,2,1.630191
321139,3,1.624683
321140,4,1.624701
321141,5,1.624606
321142,6,1.622827
321143,7,1.622723
321144,0,1.630460
321145,1,1.630358
321146,2,1.630146
321147,3,1.624616
321148,4,1.624752
321149,5,1.624539
321150,6,1.622804
321151,7,1.622816
321152,0,1.630389
321153,1,1.630244
321154,2,1.630281
321155,3,1.624629
321156,4,1.624663
321157,5,1.624640
321158,6,1.622854
321159,7,1.622952
321160,0,1.630425
321161,1,1.630715
321162,2,1.630041
321163,3,1.624600
321164,4,1.624677
321165,5,1.624454
321166,6,1.622721
321167,7,1.622694
321168,0,1.630239
321169,1,1.630335
321170,2,1.630256
321171,3,1.624686
321172,4,1.624693
321173,5,1.624298
321174,6,1.622644
321175,7,1.622785
321176,0,1.630099
321177,1,1.630118
321178,2,1.630133
321179,3,1.624741
321180,4,1.624765
321181,5,1.624515
321182,6,1.622700
321183,7,1.622740
321184,0,1.630329
321185,1,1.630329
321186,2,1.630288
321187,3,1.624492
321188,4,1.624719
321189,5,1.624572
321190,6,1.622891
321191,7,1.622747
321192,0,1.630523
321193,1,1.630178
321194,2,1.630127
321195,3,1.624663
321196,4,1.624826
321197,5,1.624624
321198,6,1.622834
321199,7,1.622846
321200,0,1.630345
321201,1,1.630713
321202,2,1.630051
321203,3,1.624568
321204,4,1.624611
321205,5,1.624561
321206,6,1.622739
321207,7,1.622661
321208,0,1.630400
321209,1,1.630268
321210,2,1.630305
321211,3,1.624637
321212,4,1.624959
