indice,canal,tensao
160000,0,1.629926
160001,1,1.629922
160002,2,1.629969
160003,3,1.624426
160004,4,1.624503
160005,5,1.624129
160006,6,1.622525
160007,7,1.622643
160008,0,1.630027
160009,1,1.630049
160010,2,1.630080
160011,3,1.624438
160012,4,1.624364
160013,5,1.624184
160014,6,1.622427
160015,7,1.622463
160016,0,1.630016
160017,1,1.630006
160018,2,1.630048
160019,3,1.624525
160020,4,1.624386
160021,5,1.624172
160022,6,1.622511
160023,7,1.622460
160024,0,1.629908
160025,1,1.629971
160026,2,1.629927
160027,3,1.624369
160028,4,1.624367
160029,5,1.624111
160030,6,1.622438
160031,7,1.622576
160032,0,1.630013
160033,1,1.630046
160034,2,1.630021
160035,3,1.624355
160036,4,1.624405
160037,5,1.624170
160038,6,1.622433
160039,7,1.622544
160040,0,1.630054
160041,1,1.630312
160042,2,1.629791
160043,3,1.624327
160044,4,1.624282
160045,5,1.624143
160046,6,1.622255
160047,7,1.622269
160048,0,1.630005
160049,1,1.630035
160050,2,1.629882
160051,3,1.624417
160052,4,1.624420
160053,5,1.624124
160054,6,1.622517
160055,7,1.622476
160056,0,1.630032
160057,1,1.630030
160058,2,1.629931
160059,3,1.624403
160060,4,1.624393
160061,5,1.624181
160062,6,1.622484
160063,7,1.622465
160064,0,1.629976
160065,1,1.629940
160066,2,1.629966
160067,3,1.624410
160068,4,1.624449
160069,5,1.624144
160070,6,1.622489
160071,7,1.622525
160072,0,1.629905
160073,1,1.629953
160074,2,1.629978
160075,3,1.624296
160076,4,1.624316
160077,5,1.624129
160078,6,1.622450
160079,7,1.622426
160080,0,1.630009
160081,1,1.630374
160082,2,1.629807
160083,3,1.624332
160084,4,1.624371
160085,5,1.624148
160086,6,1.622385
160087,7,1.622272
160088,0,1.629962
160089,1,1.629971
160090,2,1.629847
160091,3,1.624367
160092,4,1.624380
160093,5,1.624116
160094,6,1.622476
160095,7,1.622441
160096,0,1.629984
160097,1,1.629984
160098,2,1.629887
160099,3,1.624393
160100,4,1.624354
160101,5,1.624193
160102,6,1.622512
160103,7,1.622465
160104,0,1.629997
160105,1,1.629961
160106,2,1.630029
160107,3,1.624430
160108,4,1.624404
160109,5,1.624198
160110,6,1.622496
160111,7,1.622490
160112,0,1.629989
160113,1,1.629954
160114,2,1.629969
160115,3,1.624385
160116,4,1.624353
160117,5,1.624094
160118,6,1.622521
160119,7,1.622411
160120,0,1.629866
160121,1,1.630332
160122,2,1.629763
160123,3,1.624262
160124,4,1.624321
160125,5,1.624086
160126,6,1.622295
160127,7,1.622409
160128,0,1.629917
160129,1,1.629906
160130,2,1.629925
160131,3,1.624411
160132,4,1.624439
160133,5,1.624168
160134,6,1.622418
160135,7,1.622554
160136,0,1.629949
160137,1,1.629903
160138,2,1.629985
160139,3,1.624378
160140,4,1.624429
160141,5,1.624148
160142,6,1.622475
160143,7,1.622463
160144,0,1.630035
160145,1,1.630051
160146,2,1.630024
160147,3,1.624390
160148,4,1.624297
160149,5,1.624152
160150,6,1.622500
160151,7,1.622474
160152,0,1.629978
160153,1,1.629992
160154,2,1.630024
160155,3,1.624457
160156,4,1.624410
160157,5,1.624216
160158,6,1.622532
160159,7,1.622517
160160,0,1.629978
160161,1,1.630355
160162,2,1.629811
160163,3,1.624325
160164,4,1.624339
160165,5,1.624184
160166,6,1.622313
160167,7,1.622413
160168,0,1.629882
160169,1,1.629954
160170,2,1.629891
160171,3,1.624225
160172,4,1.624334
160173,5,1.624102
160174,6,1.622387
160175,7,1.622435
160176,0,1.630029
160177,1,1.629960
160178,2,1.630000
160179,3,1.624389
160180,4,1.624364
160181,5,1.624187
160182,6,1.622411
160183,7,1.622444
160184,0,1.629980
160185,1,1.630045
160186,2,1.629954
160187,3,1.624376
160188,4,1.624413
160189,5,1.624158
160190,6,1.622473
160191,7,1.622452
160192,0,1.629894
160193,1,1.630032
160194,2,1.629983
160195,3,1.624376
160196,4,1.624441
160197,5,1.624144
160198,6,1.622567
160199,7,1.622539
160200,0,1.630006
160201,1,1.630290
160202,2,1.629863
160203,3,1.624371
160204,4,1.624350
160205,5,1.624268
160206,6,1.622406
160207,7,1.622404
160208,0,1.629997
160209,1,1.630000
160210,2,1.629930
160211,3,1.624355
160212,4,1.624387
160213,5,1.624169
160214,6,1.622486
160215,7,1.622450
160216,0,1.629997
160217,1,1.629970
160218,2,1.629927
160219,3,1.624339
160220,4,1.624373
160221,5,1.624086
160222,6,1.622440
160223,7,1.622421
160224,0,1.629952
160225,1,1.629985
160226,2,1.630009
160227,3,1.624399
160228,4,1.624339
160229,5,1.624165
160230,6,1.622436
160231,7,1.622459
160232,0,1.629927
160233,1,1.629964
160234,2,1.629989
160235,3,1.624323
160236,4,1.624373
160237,5,1.624137
160238,6,1.622472
160239,7,1.622400
160240,0,1.629997
160241,1,1.630315
160242,2,1.629795
160243,3,1.624335
160244,4,1.624290
160245,5,1.624113
160246,6,1.622376
160247,7,1.622373
160248,0,1.629998
160249,1,1.629985
160250,2,1.629921
160251,3,1.624325
160252,4,1.624439
160253,5,1.624190
160254,6,1.622460
160255,7,1.622558
160256,0,1.629966
160257,1,1.629959
160258,2,1.629906
160259,3,1.624373
160260,4,1.624447
160261,5,1.624168
160262,6,1.622406
160263,7,1.622526
160264,0,1.630011
160265,1,1.629978
160266,2,1.630014
160267,3,1.624354
160268,4,1.624340
160269,5,1.624064
160270,6,1.622430
160271,7,1.622433
160272,0,1.629977
160273,1,1.629905
160274,2,1.630023
160275,3,1.624412
160276,4,1.624374
160277,5,1.624129
160278,6,1.622505
160279,7,1.622450
160280,0,1.629926
160281,1,1.630344
160282,2,1.629770
160283,3,1.624292
160284,4,1.624421
160285,5,1.624104
160286,6,1.622356
160287,7,1.622328
160288,0,1.629949
160289,1,1.629969
160290,2,1.629887
160291,3,1.624372
160292,4,1.624373
160293,5,1.624172
160294,6,1.622456
160295,7,1.622475
160296,0,1.630002
160297,1,1.629951
160298,2,1.630041
160299,3,1.624359
160300,4,1.624339
160301,5,1.624206
160302,6,1.622474
160303,7,1.622489
160304,0,1.630021
160305,1,1.629918
160306,2,1.629961
160307,3,1.624441
160308,4,1.624428
160309,5,1.624127
160310,6,1.622559
160311,7,1.622403
160312,0,1.629954
160313,1,1.630002
160314,2,1.629931
160315,3,1.624433
160316,4,1.624407
160317,5,1.624067
160318,6,1.622344
160319,7,1.622491
160320,0,1.630034
160321,1,1.629786
160322,2,1.629875
160323,3,1.624421
160324,4,1.624584
160325,5,1.624050
160326,6,1.622460
160327,7,1.622460
160328,0,1.630184
160329,1,1.629837
160330,2,1.630054
160331,3,1.624365
160332,4,1.624409
160333,5,1.624147
160334,6,1.622367
160335,7,1.622427
160336,0,1.630039
160337,1,1.629986
160338,2,1.629953
160339,3,1.624367
160340,4,1.624400
160341,5,1.624116
160342,6,1.622419
160343,7,1.622270
