0,1.649712,0
1,1.534654,1
2,1.719777,2
3,1.481404,3
4,1.649745,0
5,1.532005,1
6,1.720665,2
7,1.479465,3
8,1.649566,0
9,1.535232,1
10,1.720465,2
11,1.482327,3
12,1.651313,0
13,1.535221,1
14,1.718523,2
15,1.477971,3
16,1.650493,0
17,1.537622,1
18,1.720083,2
19,1.479787,3
20,1.651064,0
21,1.532093,1
22,1.719375,2
23,1.480981,3
24,1.651747,0
25,1.534519,1
26,1.720753,2
27,1.480496,3
28,1.651565,0
29,1.532774,1
30,1.721137,2
31,1.476971,3
32,1.644760,0
33,1.533786,1
34,1.718168,2
35,1.481752,3
36,1.651329,0
37,1.532562,1
38,1.721695,2
39,1.477996,3
40,1.649828,0
41,1.534412,1
42,1.720229,2
43,1.481637,3
44,1.651277,0
45,1.535700,1
46,1.721300,2
47,1.480957,3
48,1.648746,0
49,1.533565,1
50,1.719060,2
51,1.480999,3
52,1.649500,0
53,1.539672,1
54,1.718361,2
55,1.477802,3
56,1.651537,0
57,1.537844,1
58,1.721011,2
59,1.481672,3
60,1.652853,0
61,1.534812,1
62,1.717154,2
63,1.478936,3
64,1.651906,0
65,1.532113,1
66,1.720067,2
67,1.480506,3
68,1.649369,0
69,1.536447,1
70,1.721162,2
71,1.484643,3
72,1.651240,0
73,1.533781,1
74,1.718876,2
75,1.478337,3
76,1.651905,0
77,1.533866,1
78,1.719859,2
79,1.481499,3
80,1.648553,0
81,1.534413,1
82,1.716317,2
83,1.477835,3
84,1.648865,0
85,1.535832,1
86,1.722387,2
87,1.479963,3
88,1.650523,0
89,1.535336,1
90,1.722169,2
91,1.481787,3
92,1.650547,0
93,1.532978,1
94,1.721807,2
95,1.480762,3
96,1.652454,0
97,1.534940,1
98,1.723906,2
99,1.479282,3
100,1.653186,0
101,1.535230,1
102,1.718967,2
103,1.477743,3
104,1.649698,0
105,1.537847,1
106,1.721633,2
107,1.481378,3
108,1.645248,0
109,1.536422,1
110,1.721112,2
111,1.478900,3
112,1.648745,0
113,1.534995,1
114,1.723450,2
115,1.477890,3
116,1.649144,0
117,1.537724,1
118,1.719108,2
119,1.479271,3
120,1.650196,0
121,1.532517,1
122,1.720440,2
123,1.477581,3
124,1.651770,0
125,1.535006,1
126,1.724567,2
127,1.480562,3
128,1.652731,0
129,1.532393,1
130,1.719756,2
131,1.480646,3
132,1.653491,0
133,1.531638,1
134,1.721981,2
135,1.481183,3
136,1.653067,0
137,1.536425,1
138,1.720104,2
139,1.478957,3
140,1.647504,0
141,1.535391,1
142,1.719617,2
143,1.484041,3
144,1.648778,0
145,1.535641,1
146,1.716862,2
147,1.479209,3
148,1.650522,0
149,1.536648,1
150,1.722896,2
151,1.479912,3
152,1.647766,0
153,1.535916,1
154,1.721034,2
155,1.480983,3
156,1.648599,0
157,1.537267,1
158,1.720176,2
159,1.481400,3
160,1.652548,0
161,1.536219,1
162,1.720573,2
