indice,canal,tensao
0,0,1.629674
1,1,1.629782
2,2,1.629646
3,3,1.629670
4,4,1.629719
5,5,1.629679
6,6,1.629639
7,7,1.629663
8,0,1.629701
9,1,1.629705
10,2,1.629767
11,3,1.629719
12,4,1.629698
13,5,1.629670
14,6,1.629693
15,7,1.629619
16,0,1.629702
17,1,1.629657
18,2,1.629727
19,3,1.629620
20,4,1.629673
21,5,1.629707
22,6,1.629571
23,7,1.629679
24,0,1.629721
25,1,1.629781
26,2,1.629674
27,3,1.629683
28,4,1.629734
29,5,1.629637
30,6,1.629670
31,7,1.629726
32,0,1.629718
33,1,1.629654
34,2,1.629743
35,3,1.629708
36,4,1.629683
37,5,1.629713
38,6,1.629634
39,7,1.629709
40,0,1.629702
41,1,1.629813
42,2,1.629629
43,3,1.629723
44,4,1.629668
45,5,1.629773
46,6,1.629573
47,7,1.629645
48,0,1.629736
49,1,1.629699
50,2,1.629704
51,3,1.629660
52,4,1.629630
53,5,1.629615
54,6,1.629714
55,7,1.629690
56,0,1.629722
57,1,1.629745
58,2,1.629785
59,3,1.629693
60,4,1.629678
61,5,1.629717
62,6,1.629679
63,7,1.629624
64,0,1.629732
65,1,1.629767
66,2,1.629606
67,3,1.629673
68,4,1.629692
69,5,1.629655
70,6,1.629633
71,7,1.629630
72,0,1.629723
73,1,1.629623
74,2,1.629738
75,3,1.629682
76,4,1.629646
77,5,1.629623
78,6,1.629675
79,7,1.629606
80,0,1.629639
81,1,1.629825
82,2,1.629714
83,3,1.629747
84,4,1.629702
85,5,1.629853
86,6,1.629577
87,7,1.629660
88,0,1.629721
89,1,1.629685
90,2,1.629632
91,3,1.629719
92,4,1.629701
93,5,1.629639
94,6,1.629660
95,7,1.629660
96,0,1.629760
97,1,1.629661
98,2,1.629719
99,3,1.629676
100,4,1.629632
101,5,1.629673
102,6,1.629722
103,7,1.629602
104,0,1.629716
105,1,1.629683
106,2,1.629691
107,3,1.629652
108,4,1.629729
109,5,1.629660
110,6,1.629680
111,7,1.629641
112,0,1.629712
113,1,1.629705
114,2,1.629685
115,3,1.629712
116,4,1.629599
117,5,1.629651
118,6,1.629643
119,7,1.629680
120,0,1.629668
121,1,1.629776
122,2,1.629718
123,3,1.629756
124,4,1.629631
125,5,1.629826
126,6,1.629666
127,7,1.629595
128,0,1.629723
129,1,1.629762
130,2,1.629663
131,3,1.629711
132,4,1.629766
133,5,1.629705
134,6,1.629631
135,7,1.629671
136,0,1.629689
137,1,1.629677
138,2,1.629699
139,3,1.629671
140,4,1.629615
141,5,1.629656
142,6,1.629677
143,7,1.629564
144,0,1.629655
145,1,1.629729
146,2,1.629729
147,3,1.629595
148,4,1.629720
149,5,1.629674
150,6,1.629624
151,7,1.629595
152,0,1.629739
153,1,1.629736
154,2,1.629619
155,3,1.629767
156,4,1.629737
157,5,1.629659
158,6,1.629720
159,7,1.629667
160,0,1.629677
161,1,1.629776
162,2,1.629632
163,3,1.629708
164,4,1.629580
165,5,1.629835
166,6,1.629598
167,7,1.629600
168,0,1.629716
169,1,1.629728
170,2,1.629663
171,3,1.629656
172,4,1.629716
173,5,1.629681
174,6,1.629653
175,7,1.629661
176,0,1.629714
177,1,1.629670
178,2,1.629710
179,3,1.629725
180,4,1.629674
181,5,1.629652
182,6,1.629689
183,7,1.629631
184,0,1.629748
