indice,canal,tensao
80000,0,1.630043
80001,1,1.629852
80002,2,1.629813
80003,3,1.624350
80004,4,1.624172
80005,5,1.624165
80006,6,1.622519
80007,7,1.622452
80008,0,1.629805
80009,1,1.629872
80010,2,1.629928
80011,3,1.624307
80012,4,1.624134
80013,5,1.624219
80014,6,1.622401
80015,7,1.622437
80016,0,1.629946
80017,1,1.629926
80018,2,1.629929
80019,3,1.624064
80020,4,1.624146
80021,5,1.624222
80022,6,1.622484
80023,7,1.622562
80024,0,1.629986
80025,1,1.629863
80026,2,1.629719
80027,3,1.624179
80028,4,1.624351
80029,5,1.624270
80030,6,1.622524
80031,7,1.622330
80032,0,1.629826
80033,1,1.629833
80034,2,1.629720
80035,3,1.624254
80036,4,1.624272
80037,5,1.624249
80038,6,1.622483
80039,7,1.622424
80040,0,1.629820
80041,1,1.630160
80042,2,1.629487
80043,3,1.624261
80044,4,1.624175
80045,5,1.624029
80046,6,1.622085
80047,7,1.622089
80048,0,1.629753
80049,1,1.629916
80050,2,1.629833
80051,3,1.623969
80052,4,1.624267
80053,5,1.624112
80054,6,1.622360
80055,7,1.622362
80056,0,1.629922
80057,1,1.629791
80058,2,1.629713
80059,3,1.624179
80060,4,1.624419
80061,5,1.624175
80062,6,1.622376
80063,7,1.622304
80064,0,1.629718
80065,1,1.629736
80066,2,1.629912
80067,3,1.624238
80068,4,1.623964
80069,5,1.624198
80070,6,1.622350
80071,7,1.622314
80072,0,1.629734
80073,1,1.629793
80074,2,1.629889
80075,3,1.624243
80076,4,1.624071
80077,5,1.624157
80078,6,1.622427
80079,7,1.622415
80080,0,1.629933
80081,1,1.630400
80082,2,1.629685
80083,3,1.624191
80084,4,1.624123
80085,5,1.624035
80086,6,1.622276
80087,7,1.622301
80088,0,1.629662
80089,1,1.629689
80090,2,1.629675
80091,3,1.624328
80092,4,1.624327
80093,5,1.623983
80094,6,1.622480
80095,7,1.622333
80096,0,1.629915
80097,1,1.629857
80098,2,1.629741
80099,3,1.624288
80100,4,1.624445
80101,5,1.624063
80102,6,1.622238
80103,7,1.622146
80104,0,1.629846
80105,1,1.629752
80106,2,1.629696
80107,3,1.624267
80108,4,1.624254
80109,5,1.624170
80110,6,1.622331
80111,7,1.622381
80112,0,1.629902
80113,1,1.629940
80114,2,1.629847
80115,3,1.624285
80116,4,1.624317
80117,5,1.624199
80118,6,1.622342
80119,7,1.622255
80120,0,1.629820
80121,1,1.630065
80122,2,1.629489
80123,3,1.624012
80124,4,1.624143
80125,5,1.624031
80126,6,1.622206
80127,7,1.622071
80128,0,1.629737
80129,1,1.630135
80130,2,1.629739
80131,3,1.624207
80132,4,1.624222
80133,5,1.624182
80134,6,1.622390
80135,7,1.622391
80136,0,1.629955
80137,1,1.629835
80138,2,1.629988
80139,3,1.624357
80140,4,1.624498
80141,5,1.624179
80142,6,1.622451
80143,7,1.622421
80144,0,1.629981
80145,1,1.629996
80146,2,1.630002
80147,3,1.624378
80148,4,1.624317
80149,5,1.624229
80150,6,1.622334
80151,7,1.622411
80152,0,1.629969
80153,1,1.629944
80154,2,1.629905
80155,3,1.624310
80156,4,1.624199
80157,5,1.624146
80158,6,1.622281
80159,7,1.622183
80160,0,1.629778
80161,1,1.630113
80162,2,1.629508
80163,3,1.624115
80164,4,1.624128
80165,5,1.624004
80166,6,1.622170
80167,7,1.621984
80168,0,1.629593
80169,1,1.629647
80170,2,1.629664
80171,3,1.624181
80172,4,1.624379
80173,5,1.624158
80174,6,1.622361
80175,7,1.622348
80176,0,1.629851
